Region,District,Subcounty,Service outlet,Tracker HF ID,KP Tracker /HIBRID Mechanism name,DATIM ID,DATIM Subcounty ID,DATIM Subcounty Name,DHIS2 ID,DHIS2 District,DHIS2 Subcounty,DHIS2 HF Name,COP  Mechanism name,COP  Mechanism ID,COP US Agency,Period,"HIV_Prev_Numerator: 
Overall Total","HIV_Prev.1_ 10-14 Years, Female","HIV_Prev.2_ 10-14 Years, Male","HIV_Prev.3_ (15 - 19) Years, Female","HIV_Prev.4_ (15 - 19) Years, Male","HIV_Prev.5_ 20-24 Years, Female","HIV_Prev.6_ 20-24 Years, Male","HIV_Prev.7_ 25-29 Years, Female","HIV_Prev.8_ 25-29 Years, Male","HIV_Prev.9_ 30-34 Years, Female","HIV_Prev.10_ 30-34 Years, Male","HIV_Prev.11_ (35 - 39) Years, Female","HIV_Prev.12_ (35 - 39) Years, Male","HIV_Prev.13_ 40-44 Years, Female","HIV_Prev.14_ 40-44 Years, Male","HIV_Prev.15_45-49 Yrears, Female","HIV_Prev.16_45-49 Yrears, Male","HIV_Prev.17_ 50+ Years, Female","HIV_Prev.18_ 50+ Years, Male",HIV_Prev.19_PP_PREV HTS services: Overall Total,HIV_Prev.20_Known HIV Positive,HIV_Prev.21_Newly tested and/or referred for testing,HIV_Prev.22_Declined testing and/or referral,HIV_Prev.23_Test not required based on risk assessment,PP_PREV_Displaced Persons,PP_PREV.1_Clients of  Sex Workers,PP_PREV.2_Military and other Uniform Services,PP_PREV.3_Mobile Populations,PP_PREV.4_Fishing communities,PP_PREV.5_Non-injecting drug users,PP_PREV.6_Any Other Priority Population,PP_PREV2_Adolescents (10-24),PP_PREV3_Displaced Persons,PP_PREV4_Discordant Couples,PP_PREV5_Clients of  Sex Workers,PP_PREV6_Military and other Uniform Services,PP_PREV7_Mobile Populations,PP_PREV8_Truck Drivers,PP_PREV9_Fishing communities,PP_PREV10_Non-injecting drug users,PP_PREV11_Any Other Priority Population,HIV_test_Adolescents (10-24),HIV_test.1_Displaced Persons,HIV_test.2_Discordant Couples,HIV_test.3_Clients of  Sex Workers,HIV_test.4_Military and other Uniform Services,HIV_test.5_Mobile Populations,HIV_test.6_Truck Drivers,HIV_test.7_Fishing communities,HIV_test.8_Non-injecting drug users,HIV_test.9_Any Other Priority Population,HIV_pos_test_Adolescents (10-24),HIV_pos_test.1_Displaced Persons,HIV_pos_test.2_Discordant Couples,HIV_pos_test.3_Clients of  Sex Workers,HIV_pos_test.4_Military and other Uniform Services,HIV_pos_test.5_Mobile Populations,HIV_pos_test.6_Truck Drivers,HIV_pos_test.7_Fishing communities,HIV_pos_test.8_Non-injecting drug users,HIV_pos_test.9_Any Other Priority Population,New_ART_Adolescents (10-24),New_ART.1_Displaced Persons,New_ART.2_Discordant Couples,New_ART.3_Clients of  Sex Workers,New_ART.4_Military and other Uniform Services,New_ART.5_Mobile Populations,New_ART.6_Truck Drivers,New_ART.7_Fishing communities,New_ART.8_Non-injecting drug users,New_ART.9_Any Other Priority Population,PP_ART_Adolescents (10-24),PP_ART.1_Displaced Persons,PP_ART.2_Discordant Couples,PP_ART.3_Clients of  Sex Workers,PP_ART.4_Military and other Uniform Services,PP_ART.5_Mobile Populations,PP_ART.6_Truck Drivers,PP_ART.7_Fishing communities,PP_ART.8_Non-injecting drug users,PP_ART.9_Any Other Priority Population,VL eligible_Adolescents (10-24),VL eligible.1_Displaced Persons,VL eligible.2_Discordant Couples,VL eligible.3_Clients of  Sex Workers,VL eligible.4_Military and other Uniform Services,VL eligible.5_Mobile Populations,VL eligible.6_Truck Drivers,VL eligible.7_Fishing communities,VL eligible.8_Non-injecting drug users,VL eligible.9_Any Other Priority Population,VL_lab_doc_Adolescents (10-24),VL_lab_doc.1_Displaced Persons,VL_lab_doc.2_Discordant Couples,VL_lab_doc.3_Clients of  Sex Workers,VL_lab_doc.4_Military and other Uniform Services,VL_lab_doc.5_Mobile Populations,VL_lab_doc.6_Truck Drivers,VL_lab_doc.7_Fishing communities,VL_lab_doc.8_Non-injecting drug users,VL_lab_doc.9_Any Other Priority Population,VL_supp_Adolescents (10-24),VL_supp.1_Displaced Persons,VL_supp.2_Discordant Couples,VL_supp.3_Clients of  Sex Workers,VL_supp.4_Military and other Uniform Services,VL_supp.5_Mobile Populations,VL_supp.6_Truck Drivers,VL_supp.7_Fishing communities,VL_supp.8_Non-injecting drug users,VL_supp.9_Any Other Priority Population,summary_PP_PREV,summary.1_HTS_TST,summary.2_Known HIV Positive,summary.3_Newly tested and/or referred for testing,summary.4_Declined testing and/or referral,summary.5_Test not required based on risk assessment,summary.6_HTS_TST (Newly tested),summary.7_HTS_TST_POS,summary.8_TX_NEW,summary.9_TX_CURR,summary.10_VL eligible,summary.11_VL tested,summary.12_VL suppressed,summary.13_nan,PP_PREV2,subcounty_PP_PREV_total,pp_known_pos_subcounty,pct_pp_prev_pop_subcounty,pct_pp_pos_pop_subcounty,usaid,cdc,dod,subcounty_pop_adjusted
Kampala,Kampala District,Central Division (Kampala CCA),AIDS Information Centre (Kampala) Special Clinic,rxoAz9lkuSi,0,kB0HFAWMU0V,tCjjKuunNPD,Central Division,rxoAz9lkuSi,Kampala District,Central Division,AIDS Information Centre (Kampala) Special Clinic,ROM_Kampala Region,87040,CDC,FY2024Q4,"1,438",1,0,47,293,176,135,22,214,20,175,12,133,2,104,2,58,1,43,0,192,1241,0,7,1,856,15,42,2,2,517,405,1,87,856,15,0,42,2,2,25,362,0,18,833,0,0,0,0,2,23,4,0,0,9,0,0,0,0,0,0,4,0,0,8,0,0,0,0,0,0,29,1,60,14,9,0,31,0,0,1,22,0,40,7,9,0,22,0,0,0,22,0,40,6,9,0,20,0,0,0,22,0,37,5,7,0,18,0,0,0,"1,438","1,440",192.0,"1,241",0,7,"1,238",13,12,145,100,97,89,False,1435,4572,420,0.3138670166229221,0.4571428571428571,0,1,0,
Ankole,Mbarara City,Kakoba Division,AIDS Information Centre (Mbarara) Special Clinic,sPWbPZtb3ut,0,x6mChfIb7H2,KZ2vT9g5YbY,Kakoba Division,sPWbPZtb3ut,Mbarara City,Mbarara South Division,AIDS Information Centre (Mbarara) Special Clinic,UPMB_LSD,81995,USAID,FY2024Q4,518,1,0,19,18,86,25,1,73,5,53,2,109,4,63,1,26,5,27,0,73,424,0,0,0,383,15,47,1,0,73,33,0,33,383,15,39,8,1,0,7,20,0,24,339,10,24,3,0,0,6,0,0,0,10,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,1,6,0,2,34,3,5,3,0,0,1,4,0,5,25,1,1,1,1,0,0,4,0,5,25,1,8,1,1,0,0,4,0,5,24,1,8,1,1,0,0,518,497,73.0,424,0,0,426,11,11,54,38,45,44,False,519,1911,126,0.271585557299843,0.5793650793650794,1,0,0,
Lango,Apac District,Akokoro Subcounty,Akokoro HC III,rjOHz4O83zh,0,mOUafJWBWfR,YGFo3wMctNA,Akokoro Subcounty,rjOHz4O83zh,Apac District,Akokoro Town Council,Akokoro HC III,JCRC_Kigezi Lango Region,81997,USAID,FY2024Q4,331,0,0,13,16,40,3,16,56,20,70,12,29,2,43,3,4,0,4,0,22,314,0,0,0,17,2,53,209,26,25,1,0,8,17,2,45,8,209,26,16,1,0,8,16,1,44,8,203,24,9,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0,2,0,8,0,0,0,0,0,1,1,2,0,12,2,5,0,0,0,1,1,2,0,2,0,1,0,0,0,1,1,1,0,2,0,1,0,0,0,1,1,1,0,1,0,1,331,336,22.0,314,0,0,314,10,10,23,7,6,5,False,332,332,22,1.0,1.0,1,0,0,43374.33
Lango,Alebtong District,Alebtong Town Council,Alebtong HC IV,RdmsO9Kftg9,0,OhR3CIdEy6T,gYc6FjphwAK,Alebtong Town council,RdmsO9Kftg9,Alebtong District,Alebtong Town Council,Alebtong HC IV,JCRC_Kigezi Lango Region,81997,USAID,FY2024Q4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,59,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,59,0.0,59,0,0,59,0,0,0,0,0,0,False,60,60,0,1.0,,1,0,0,6903.06
Kampala,Kampala District,Makindye Division,Alive Medical Services Special Clinic,PHhcBpjIWvL,0,AW0nP2fFGdm,Va0wK97KXaI,Makindye Division,PHhcBpjIWvL,Kampala District,Makindye Division,Alive Medical Services Special Clinic,UPMB,84980,CDC,FY2024Q4,509,43,0,0,157,11,64,22,31,22,38,19,19,15,21,5,15,5,22,0,311,160,1,0,1,25,35,20,23,0,399,248,1,131,25,35,2,18,23,0,20,61,0,52,12,20,0,6,0,0,4,14,0,0,0,3,0,1,0,0,0,14,0,0,0,2,0,1,0,0,0,95,0,34,0,7,0,9,12,0,3,114,0,43,2,10,16,8,16,0,4,102,0,42,2,8,0,5,13,0,4,75,0,39,2,6,0,5,8,0,3,509,472,311.0,160,1,0,155,18,17,160,213,176,138,False,503,4077,1078,0.1233750306597988,0.2884972170686456,0,1,0,809596.48
Lango,Lira District,Amach Subcounty,Amach HC IV,ah2PY0hhVkV,0,cfy9cOni5AM,w1eEMvV7mxz,Amach Subcounty,ah2PY0hhVkV,Lira District,Amach Town Council,Amach HC IV,JCRC_Kigezi Lango Region,81997,USAID,FY2024Q4,251,2,0,11,34,19,19,35,29,12,20,9,24,4,11,0,12,0,10,0,11,279,0,11,0,45,1,9,0,81,155,68,0,3,45,1,2,7,0,81,84,68,0,3,44,1,2,7,0,79,75,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,4,0,0,0,1,0,0,0,0,1,7,0,0,0,1,0,0,0,0,1,7,0,0,0,1,0,0,0,0,1,7,251,301,11.0,279,0,11,279,1,1,6,9,9,9,False,291,291,11,1.0,1.0,1,0,0,35866.66
Karamoja,Abim District,Abim Subcounty,Amita Prison HC II,Owvv3PbIrZ2,0,VvDYjfe8kt7,HR5NsgdaM9i,Abim Subcounty,Owvv3PbIrZ2,Abim District,Abim Subcounty,Amita Prison HC II,UPS,84974,CDC,FY2024Q4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1.0,0,0,0,0,0,0,0,1,1,1,True,1,1,1,1.0,1.0,0,1,0,13013.02
Lango,Amolatar District,Amolatar Town Council,Amolatar HC IV,XazfKCvCCLS,0,fDlQx7nXPLd,Lk63CYz4bQ9,Amolatar Town Council,XazfKCvCCLS,Amolatar District,Amolatar Town Council,Amolatar HC IV,JCRC_Kigezi Lango Region,81997,USAID,FY2024Q4,756,0,0,31,136,84,62,108,112,50,72,17,37,9,10,2,8,2,16,0,45,716,0,0,0,3,0,3,364,3,384,4,0,4,3,0,2,1,364,3,376,4,0,4,0,0,0,0,342,0,366,0,0,0,0,0,0,0,5,0,8,0,0,0,0,0,0,0,5,0,8,0,0,0,1,0,2,1,25,2,11,0,0,0,3,0,20,1,20,3,7,0,0,0,3,0,2,1,20,3,7,0,0,0,3,0,2,1,19,3,7,756,761,45.0,716,0,0,716,13,13,42,54,36,35,False,757,757,45,1.0,1.0,1,0,0,11538.06
Lango,Lira City,Lira Subcounty,Amuca SDA HC III,pNHDdE8BJt8,0,uTzexpmD2rk,FetVc0FYpgb,Lira Subcounty,pNHDdE8BJt8,Lira City,Lira West Division,Amuca SDA HC III,UPMB_LSD,81995,USAID,FY2024Q4,80,0,0,7,3,24,0,2,19,0,9,0,5,1,5,0,0,1,4,0,7,73,0,0,0,46,3,19,0,3,9,0,0,9,46,3,8,11,0,3,0,0,0,9,45,2,5,11,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,1,1,2,0,0,2,0,0,0,0,1,1,2,0,0,2,0,80,80,7.0,73,0,0,73,3,0,0,4,6,6,True,80,283,24,0.2826855123674912,0.2916666666666667,1,0,0,
Teso,Amuria District,Amuria Town Council,Amuria Hospital,oRHreBW5Tyr,0,CaGjhbitWT4,ReHM0Uvbz0V,Amuria Town Council,oRHreBW5Tyr,Amuria District,Amuria Town Council,Amuria Hospital,AIC_Soroti Region,87041,CDC,FY2024Q4,32,0,0,1,0,1,0,5,2,2,3,2,2,4,3,2,4,1,0,0,2,15,0,10,0,0,1,1,0,0,30,0,0,15,0,1,0,1,0,0,15,0,0,13,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,32,27,2.0,15,0,10,15,0,0,2,1,1,1,True,32,32,2,1.0,1.0,0,1,0,7479.860000000001
West Nile,Nebbi District,Nyaravur Subcounty,Angal Hospital,K7Do3WBvmLa,0,qDyRBZN7FQT,VhhycykuTeI,Nyaravur Subcounty,K7Do3WBvmLa,Nebbi District,Nyaravur Town Council,Angal Hospital,UEC,81974,CDC,FY2024Q4,184,0,0,9,28,18,7,12,22,16,16,13,11,7,7,1,4,3,10,0,0,183,0,2,0,0,2,4,0,0,179,17,0,12,0,2,3,1,0,0,150,17,0,12,0,2,3,1,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,185,0.0,183,0,2,183,0,0,0,0,0,0,False,185,627,0,0.2950558213716108,,0,1,0,
