Statistical Region,UAIS 2011_ Region,PIRS UnitID,PIRS District ,PIRS Subcounty,PIRS Service outlet,PIRS Mechanism name,pirs Mechanism ID,PIRS US Agency,DATIM ID,DHIS2 ID,DHIS2 District,DHIS2 Subcounty,DHIS2 HF Name,COP  Mechanism name,COP  Mechanism ID,COP US Agency,Type of Support,Period,Numerator (Overall TOTAL) ,Unknown age Female,"Female
<1yr","Female
1-4yrs","Female
5-9yrs","Female
10-14 yrs","Female
15-19 yrs","Female
20-24 yrs","Female
25-29 yrs","Female
30-34 yrs","Female
35-39 yrs","Female
40-44 yrs","Female
45-49 yrs","Female
 50-54 yrs","Female
 55-59 yrs","Female
 60-64 yrs","Female
 65+ yrs","Male
Unknown age ","Male
<1yr","Male
1-4yrs","Male
5-9yrs","Male
10-14 yrs","Male
15-19 yrs","Male
20-24 yrs","Male
25-29 yrs","Male
30-34 yrs","Male
35-39 yrs","Male
40-44 yrs","Male
45-49 yrs","Male
 50-54 yrs","Male
 55-59 yrs","Male
 60-64 yrs","Male
 65+ yrs","Sex Workers, Female",People in prisons and other enclosed settings (Incarcerated Population),PWID,MSM,Transgender,"<3 months of ARVs dispensed by Unknown Age, Female","<3 months of ARVs dispensed by Unknown Age, Male","<3 months of ARVs dispensed by <15yrs, Female","<3 months of ARVs dispensed by <15yrs, Male","<3 months of ARVs dispensed by 15+yrs, Female","<3 months of ARVs dispensed by 15+yrs, Male","3-5 months of ARVs dispensed to patient by Unknown Age, Female","3-5 months of ARVs dispensed to patient by Unknown Age, Male","3-5 months of ARVs dispensed to patient by <15yrs, Female","3-5 months of ARVs dispensed to patient by <15yrs, Male","3-5 months of ARVs dispensed to patient by 15+yrs, Female","3-5 months of ARVs dispensed to patient by 15+yrs, Male","4 or more months of ARVs dispensed to patient by Unknown Age, Female","5 or more months of ARVs dispensed to patient by Unknown Age, Male","6 or more months of ARVs dispensed to patient by <15yrs, Female","6 or more months of ARVs dispensed to patient by <15yrs, Male","6 or more months of ARVs dispensed to patient by 15+yrs, Female","6 or more months of ARVs dispensed to patient by 15+yrs, Male"
Northern Region,North East,RxPKxSBe0DC,Abim District,Abim Town Council,Abim General Hospital,ANECCA Karamoja Region,85006,USAID,BXq0kPrz7Dl,RxPKxSBe0DC,Abim District,Abim Town Council,Abim General Hospital,ANECCA_Karamoja Region,85006,USAID,DSD,FY2025Q1,588,0,0,5,6,13,14,13,32,59,48,59,49,36,24,15,5,0,0,1,8,12,10,6,7,16,34,35,20,23,18,15,5,0,0,0,0,0,,,4,7,54,28,,,11,11,89,48,,,9,3,211,113
Northern Region,Mid Northern,UIhutvdIhqU,Kole District,Aboke Subcounty,Aboke Health Centre IV,JCRC Kigezi Lango,81997,USAID,qdfauyzsicr,UIhutvdIhqU,Kole District,Aboke Subcounty,Aboke Health Centre IV,JCRC_Kigezi Lango Region,81997,USAID,DSD,FY2025Q1,2935,0,0,9,15,43,53,100,162,217,248,241,225,225,113,78,85,0,1,10,3,48,30,28,67,95,160,170,162,157,78,55,57,0,0,0,0,0,,,1,0,45,6,,,32,42,298,115,,,34,20,1404,938
Northern Region,Mid Northern,,Kole District,Aboke Subcounty,Aboke Mission Health Centre III,,,,,mpqPtBSjAgz,Kole District,Aboke Subcounty,Aboke Mission Health Centre III,UPMB_LSD,81995,USAID,DSD,FY2025Q1,148,0,0,1,0,3,2,7,10,10,12,14,15,25,,,,0,0,1,0,0,3,2,3,4,10,4,6,16,,,,0,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0
Northern Region,Mid Northern,xzRSc5XHzys,Kwania District,Abongomola Subcounty,Abongomola Health Centre III,JCRC Kigezi Lango,81997,USAID,rDCHA2jHz39,xzRSc5XHzys,Kwania District,Abongomola Subcounty,Abongomola Health Centre III,JCRC_Kigezi Lango Region,81997,USAID,DSD,FY2025Q1,950,0,0,3,9,16,12,42,59,99,84,96,69,41,34,26,23,0,0,5,7,18,11,6,22,37,53,45,46,33,23,18,13,0,0,0,0,0,,,15,13,55,17,,,13,17,223,132,,,0,0,307,158
Northern Region,Mid Northern,b5RkGqLLhrM,Omoro District,Acet Town Council,Acet Health Centre III,TASO Ankole Acholi,81998,USAID,UouStFJrMim,b5RkGqLLhrM,Omoro District,Acet Town Council,Acet Health Centre III,TASO_Ankole Acholi Region,81998,USAID,DSD,FY2025Q1,65,0,0,0,0,1,0,3,8,7,10,4,7,0,0,0,0,0,0,0,0,1,0,0,1,3,8,4,6,2,0,0,0,0,0,0,0,0,,,1,1,10,2,,,0,0,15,9,,,0,0,14,13
Northern Region,Mid Northern,KgFiiUmrRxI,Pader District,Acholibur Town Council,Acholi-Bur Health Centre III,TASO Ankole Acholi,81998,USAID,vX4Fa7YOuiY,KgFiiUmrRxI,Pader District,Acholibur Town Council,Acholi-Bur Health Centre III,TASO_Ankole Acholi Region,81998,USAID,DSD,FY2025Q1,596,0,0,4,2,3,12,30,59,61,34,29,37,11,9,7,5,0,0,6,5,11,4,18,33,46,43,41,36,28,9,8,5,0,0,0,0,0,,,3,2,12,3,,,8,7,132,70,,,6,5,150,198
Northern Region,Mid Northern,aKoVWgIufTx,Agago District,Arum Subcounty,Acholpii Health Centre III,TASO Ankole Acholi,81998,USAID,PDBuBeH1n56,aKoVWgIufTx,Agago District,Arum Subcounty,Acholpii Health Centre III,TASO_Ankole Acholi Region,81998,USAID,DSD,FY2025Q1,316,0,0,0,1,4,4,10,23,27,38,33,12,18,8,9,8,0,0,3,4,5,3,2,2,13,15,15,16,16,10,8,9,0,0,0,0,0,,,1,1,10,1,,,3,8,73,30,,,1,3,107,78
Northern Region,Mid Northern,w9roqtex0ih,Oyam District,Myene Subcounty,Acimi Health Centre III,JCRC Kigezi Lango,81997,USAID,spWAonjMiZp,w9roqtex0ih,Oyam District,Myene Subcounty,Acimi Health Centre III,JCRC_Kigezi Lango Region,81997,USAID,DSD,FY2025Q1,984,0,0,6,10,13,15,60,97,128,112,85,53,42,15,20,19,0,0,3,8,10,3,7,24,33,68,49,44,31,15,10,4,0,0,0,0,0,,,4,0,26,8,,,22,20,241,59,,,3,1,379,221
Northern Region,Mid Northern,x4fr2px73Bq,Oyam District,Otwal Subcounty,Acokara Health Centre II,JCRC Kigezi Lango,81997,USAID,mrBLgl58icQ,x4fr2px73Bq,Oyam District,Otwal Subcounty,Acokara Health Centre III,JCRC_Kigezi Lango Region,81997,USAID,DSD,FY2025Q1,8,0,0,0,0,0,1,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,,0,0,6,2,,,0,0,0,0,,,0,0,0,0
Eastern Region,North East,krIH36G6xhy,Kapelebyong District,Acowa Town Council,Acowa Health Centre III,AIC Soroti  Region,87041,CDC,aNV2QZS8ibU,krIH36G6xhy,Kapelebyong District,Acowa Town Council,Acowa Health Centre III,AIC_Soroti Region,87041,CDC,DSD,FY2025Q1,829,0,0,1,6,13,11,23,41,50,78,79,68,49,31,26,26,0,0,2,4,12,22,9,11,17,49,59,34,41,26,16,25,0,0,0,0,0,,,9,8,101,63,,,7,7,187,126,,,4,3,194,120
Eastern Region,North East,M864p5iRGub,Amuria District,Orungo Subcounty,Adakun Health Centre II,UPMB,84980,CDC,BPZNP5By5hb,M864p5iRGub,Amuria District,Orungo Subcounty,Adakun Health Centre II,UPMB,84980,CDC,DSD,FY2025Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,0,0,1,0,,,0,0,7,8,,,0,0,2,1
Northern Region,Mid Northern,FvewOonC8lS,Agago District,Adilang Subcounty,Adilang Health Centre III,TASO Ankole Acholi,81998,USAID,ZeRcMv22glU,FvewOonC8lS,Agago District,Adilang Town Council,Adilang Health Centre III,TASO_Ankole Acholi Region,81998,USAID,DSD,FY2025Q1,516,0,0,0,7,7,10,9,40,43,59,48,39,16,19,10,23,0,0,1,3,10,4,2,12,10,21,34,31,27,12,10,9,0,0,0,0,0,,,4,3,77,40,,,10,11,236,129,,,0,0,3,3
Northern Region,West Nile,hvtKTUxWNrt,Adjumani District,Adjumani Town Council,Adjumani General Hospital,IDI West Nile,84981,CDC,DXy9kBbZcEQ,hvtKTUxWNrt,Adjumani District,Adjumani Town Council,Adjumani General Hospital,IDI_West Nile Region,84981,CDC,DSD,FY2025Q1,1115,0,0,5,12,29,23,37,67,109,128,97,87,73,50,14,21,0,0,1,13,15,22,14,17,32,44,58,47,46,23,18,13,0,0,0,0,0,,,6,3,21,19,,,33,17,516,211,,,7,9,169,104
Northern Region,West Nile,aoqEF4fUP18,Adjumani District,Adjumani Town Council,Adjumani Mission Health Centre III,UEC,81974,CDC,nJ8JzIoR3QG,aoqEF4fUP18,Adjumani District,Adjumani Town Council,Adjumani Mission Health Centre III,UEC,81974,CDC,DSD,FY2025Q1,172,0,0,0,0,1,1,8,18,24,31,13,12,8,2,5,1,0,0,1,1,2,0,1,4,2,7,6,11,7,3,2,1,0,0,0,0,0,,,1,1,32,3,,,0,3,87,38,,,0,0,4,3
Northern Region,West Nile,UTC3IbJUl4K,Adjumani District,Adropi Subcounty,Adjumani Prisons Health Centre II,UPS Follow-on,84974,CDC,ubmd3m69Dv9,UTC3IbJUl4K,Adjumani District,Adropi Subcounty,Adjumani Prisons Health Centre II,UPS,84974,CDC,DSD,FY2025Q1,49,0,0,0,0,0,0,0,1,0,0,1,0,2,,,,0,0,0,0,0,0,9,14,4,5,5,2,6,,,,0,48,0,0,0,,,0,0,4,44,,,0,0,0,0,,,0,0,0,0
Northern Region,Mid Northern,WEH3aMvIS0B,Kwania District,Aduku Town Council,Aduku Health Centre IV,JCRC Kigezi Lango,81997,USAID,mbLlXELR4Nb,WEH3aMvIS0B,Kwania District,Aduku Town Council,Aduku Health Centre IV,JCRC_Kigezi Lango Region,81997,USAID,DSD,FY2025Q1,2670,0,0,8,17,39,48,137,187,244,267,216,181,145,83,48,57,0,0,3,17,37,32,35,55,117,149,155,141,114,58,36,44,0,0,0,0,0,,,10,11,124,29,,,45,43,252,130,,,9,3,1237,777
Northern Region,West Nile,H7pcxkjHX8T,Arua City,Ayivu Division,Adumi Health Centre IV,IDI West Nile,84981,CDC,lCcSWGs16e4,H7pcxkjHX8T,Arua City,Ayivu Division,Adumi Health Centre IV,IDI_West Nile Region,84981,CDC,DSD,FY2025Q1,347,0,0,2,0,2,2,6,19,29,24,23,31,29,9,19,16,0,0,1,0,3,4,0,2,12,23,11,25,22,15,8,10,0,0,0,0,0,,,1,2,6,9,,,2,2,191,111,,,1,0,10,12
Central Region,Kampala,aWtkpwtp9JE,Kampala District,Central Division,Adventist Medical Centre,UPMB,84980,CDC,FuinxNi7q0E,aWtkpwtp9JE,Kampala District,Central Division,Adventist Medical Centre,UPMB,84980,CDC,DSD,FY2025Q1,161,0,0,1,3,2,1,15,23,26,11,18,11,2,2,1,1,0,0,1,1,0,0,1,5,10,8,8,5,2,3,0,0,0,0,0,0,0,,,2,0,29,10,,,4,2,62,20,,,0,0,20,12
Northern Region,Mid Northern,I9nJzN3m8qL,Lira District,Agali Subcounty,Agali Health Centre III,JCRC Kigezi Lango,81997,USAID,Om7XiZ4rFaL,I9nJzN3m8qL,Lira District,Agali Subcounty,Agali Health Centre III,JCRC_Kigezi Lango Region,81997,USAID,DSD,FY2025Q1,547,0,0,0,6,7,8,20,46,44,65,48,29,29,20,14,17,0,0,0,4,6,2,3,7,25,31,36,22,26,11,11,10,0,0,0,0,0,,,2,1,9,2,,,11,9,230,122,,,0,0,101,60
Northern Region,West Nile,vFo5oNkc7Nn,Zombo District,Warr Subcounty,Agiermach Health Centre III,UEC,81974,CDC,vEWmMrk4VP8,vFo5oNkc7Nn,Zombo District,Warr Subcounty,Agiermach Health Centre III,UEC,81974,CDC,DSD,FY2025Q1,230,0,0,1,1,2,1,23,30,19,26,21,5,6,7,1,1,0,0,1,0,1,0,4,6,14,21,12,10,8,2,1,6,0,0,0,0,0,,,2,1,24,8,,,1,0,53,39,,,1,1,63,37
Eastern Region,North East,PCvI4E289K1,Soroti District,Arapai Subcounty,Agirigiroi Health Centre II,AIC Soroti  Region,87041,CDC,N8PrJOaDeXd,PCvI4E289K1,Soroti District,Arapai Subcounty,Agirigiroi Health Centre II,AIC_Soroti Region,87041,CDC,DSD,FY2025Q1,33,0,0,0,0,0,0,1,5,8,2,4,1,1,0,0,0,0,0,0,0,0,0,1,1,2,5,1,1,0,0,0,0,0,0,0,0,0,,,0,0,1,2,,,0,0,20,9,,,0,0,1,0
Northern Region,Mid Northern,tvKjvN8d4rR,Lamwo District,Agoro Subcounty,Agoro Health Centre III,TASO Ankole Acholi,81998,USAID,lhEvMUPszDG,tvKjvN8d4rR,Lamwo District,Agoro Subcounty,Agoro Health Centre III,TASO_Ankole Acholi Region,81998,USAID,DSD,FY2025Q1,282,0,0,3,7,8,7,7,20,24,32,22,14,10,12,8,8,0,0,2,3,7,4,4,5,12,17,10,14,9,5,3,5,0,0,0,0,0,,,0,0,0,0,,,3,0,1,0,,,15,12,163,88
Eastern Region,North East,S70E0FJrMtU,Ngora District,Ngora Subcounty,Agu Health Centre III,AIC Soroti  Region,87041,CDC,DL28fCL1Ouv,S70E0FJrMtU,Ngora District,Ngora Subcounty,Agu Health Centre III,AIC_Soroti Region,87041,CDC,DSD,FY2025Q1,83,0,0,2,2,0,2,6,7,10,7,5,5,12,,,,0,0,1,2,3,0,1,0,1,4,4,2,7,,,,0,0,0,0,0,,,1,3,15,2,,,3,3,29,9,,,0,0,8,10
Eastern Region,Mid Eastern,aMrHxMQoKXP,Pallisa District,Agule Town Council,Agule Health Centre III,Baylor Eastern Region,82001,USAID,ts16mm9V1lW,aMrHxMQoKXP,Pallisa District,Agule Town Council,Agule Health Centre III,Baylor_Eastern Region,82001,USAID,DSD,FY2025Q1,198,0,1,0,1,0,2,3,18,14,14,15,13,16,10,7,10,0,0,1,3,1,2,2,5,5,7,13,7,8,8,5,7,0,0,0,0,0,,,0,0,0,0,,,1,0,23,0,,,1,5,99,69
Northern Region,Mid Northern,aes9vvQi4Df,Oyam District,Loro Subcounty,Agulurude Health Centre III,JCRC Kigezi Lango,81997,USAID,gHXMAd7Brzr,aes9vvQi4Df,Oyam District,Loro Subcounty,Agulurude Health Centre III,JCRC_Kigezi Lango Region,81997,USAID,DSD,FY2025Q1,1350,0,0,5,12,20,15,50,96,125,139,120,77,76,42,30,22,0,0,3,9,20,24,9,28,62,87,78,51,56,46,28,20,0,0,0,0,0,,,5,3,26,6,,,29,26,261,173,,,3,3,505,310
Northern Region,Mid Northern,sYHZIUFx50X,Dokolo District,Agwata Subcounty,Agwatta Health Centre III,JCRC Kigezi Lango,81997,USAID,XqCZSdv6Szx,sYHZIUFx50X,Dokolo District,Agwata Subcounty,Agwatta Health Centre III,JCRC_Kigezi Lango Region,81997,USAID,DSD,FY2025Q1,2069,0,0,3,7,28,43,118,147,210,210,191,129,127,55,46,46,0,0,9,17,16,16,15,31,78,111,130,81,88,58,36,23,0,0,0,0,0,,,1,2,27,8,,,6,14,186,71,,,31,26,1109,588
Eastern Region,Mid Eastern,potmv2l4HbN,Mbale City,Northern Division,Ahamadiya Hospital,UPMB LSD,81995,USAID,unRksZZBxTy,potmv2l4HbN,Mbale City,Northern Division,Ahamadiya Hospital,UPMB_LSD,81995,USAID,DSD,FY2025Q1,96,0,0,0,0,0,1,0,7,15,20,7,3,5,4,4,2,0,0,1,1,1,1,0,0,1,5,2,3,4,3,3,3,0,0,0,0,0,,,0,0,16,0,,,0,3,44,21,,,0,0,8,4
Central Region,Central 1,mqCkkaqoMNA,Kalungu District,Lukaya Town Council,AHF Uganda Care,IDI Masaka Wakiso Region,87029,CDC,Rm8JsQhpnqY,mqCkkaqoMNA,Kalungu District,Lukaya Town Council,AHF Uganda Care,IDI_Masaka_Wakiso Region,87029,CDC,DSD,FY2025Q1,3784,0,1,10,17,60,62,96,224,376,438,406,299,184,137,96,59,0,2,6,16,49,34,32,39,140,204,234,192,149,93,54,75,0,0,0,0,0,,,24,14,194,108,,,60,57,1358,664,,,4,2,825,474
Northern Region,West Nile,XpJak3aZzRX,Arua City,Arua Central Division,AIDS Information Centre (Arua),IDI West Nile,84981,CDC,EeVbUMNj3lc,XpJak3aZzRX,Arua City,Arua Central Division,AIDS Information Centre (Arua),IDI_West Nile Region,84981,CDC,DSD,FY2025Q1,133,0,0,0,0,0,0,2,5,7,16,12,17,9,6,4,4,0,0,0,0,0,0,0,0,4,6,7,11,9,5,5,4,0,0,0,0,0,,,0,0,0,0,,,0,0,31,21,,,0,0,51,30
Eastern Region,East Central,ndyRWKL0fDH,Jinja City,Jinja South Division,AIDS Information Centre (Jinja),UPMB LSD,81995,USAID,P8jugmnzg3z,ndyRWKL0fDH,Jinja City,Jinja South Division,AIDS Information Centre (Jinja),UPMB_LSD,81995,USAID,DSD,FY2025Q1,505,0,0,0,3,1,1,15,39,48,42,43,27,23,17,16,6,0,0,0,0,0,1,5,13,18,27,39,36,36,22,12,15,0,0,0,0,0,,,2,0,21,27,,,2,0,95,66,,,0,0,161,131
Western Region,South Western,s0sTvb5DnDP,Kabale District,Southern Division,AIDS Information Centre (Kabale),UPMB LSD,81995,USAID,JxQgnete7bJ,s0sTvb5DnDP,Kabale District,Southern Division,AIDS Information Centre (Kabale),UPMB_LSD,81995,USAID,DSD,FY2025Q1,274,0,0,0,1,0,2,10,18,32,38,28,18,9,4,3,1,0,0,2,0,1,1,3,6,19,12,19,8,16,13,8,2,0,0,0,0,0,,,1,1,22,17,,,0,0,116,83,,,0,0,25,7
Central Region,Kampala,rxoAz9lkuSi,Kampala District,Central Division,AIDS Information Centre (Kampala),ROM Kampala Region,87040,CDC,kB0HFAWMU0V,rxoAz9lkuSi,Kampala District,Central Division,AIDS Information Centre (Kampala),ROM_Kampala Region,87040,CDC,DSD,FY2025Q1,1576,0,0,0,1,1,10,49,143,178,178,117,77,56,22,18,9,0,0,1,4,3,1,7,35,85,130,145,120,99,56,22,9,0,0,0,0,0,,,0,2,96,88,,,1,6,413,306,,,1,0,348,315
Eastern Region,Mid Eastern,v9p3jFvYYtP,Mbale City,Industrial Division,AIDS Information Centre (Mbale),UPMB LSD,81995,USAID,GN0FGM09yVX,v9p3jFvYYtP,Mbale City,Industrial Division,AIDS Information Centre (Mbale),UPMB_LSD,81995,USAID,DSD,FY2025Q1,399,0,0,2,0,0,0,10,24,37,32,35,41,24,16,11,11,0,0,0,0,0,2,2,7,13,21,31,30,19,12,9,10,0,0,0,0,0,,,1,0,9,8,,,0,0,83,50,,,1,0,149,98
Western Region,South Western,sPWbPZtb3ut,Mbarara City,Mbarara South Division,AIDS Information Centre (Mbarara),UPMB LSD,81995,USAID,x6mChfIb7H2,sPWbPZtb3ut,Mbarara City,Mbarara South Division,AIDS Information Centre (Mbarara),UPMB_LSD,81995,USAID,DSD,FY2025Q1,877,0,0,1,0,0,7,49,84,95,86,58,42,54,,,,0,0,0,2,1,2,13,34,66,74,61,53,95,,,,0,0,0,0,0,,,1,2,54,39,,,0,1,227,179,,,0,0,194,178
Eastern Region,North East,p0gQCb29YsS,Soroti City,Soroti West Division,AIDS Information Centre (Soroti),AIC Soroti  Region,87041,CDC,gojEOTnS2Jk,p0gQCb29YsS,Soroti City,Soroti West Division,AIDS Information Centre (Soroti),AIC_Soroti Region,87041,CDC,DSD,FY2025Q1,161,0,0,0,1,0,2,5,9,11,30,11,4,8,6,2,0,0,0,0,1,1,0,0,3,3,10,10,16,12,5,5,6,0,0,0,0,0,,,0,1,13,8,,,1,1,38,37,,,0,0,37,25
Northern Region,Mid Northern,n5PljkZC3KG,Oyam District,Minakulu Subcounty,Ajaga Health Centre III,JCRC Kigezi Lango,81997,USAID,XWRlQSqsrwS,n5PljkZC3KG,Oyam District,Minakulu Subcounty,Ajaga Health Centre III,JCRC_Kigezi Lango Region,81997,USAID,DSD,FY2025Q1,23,0,0,0,0,0,2,0,2,3,3,1,0,3,2,0,0,0,0,0,0,1,0,0,1,3,0,2,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,1,16,6,,,0,0,0,0
