Unnamed: 0,DHIS2 District,DHIS2 Subcounty,DHIS2 HF Name,Agency,"MSM, Male",Transgender,Sex Workers,PWID,People in prisons and other enclosed settings (Incarcerated Population),Pregnant,Breast feeding,Health Facility,Community,Adolescents and young women (10-24) years,Clients of sex workers,"Displaced persons (e.g., refugees)",Fishing communities,"Military and other uniformed services (including police, border guards, and security workers),Female","Mobile Populations (e.g., migrant workers, truck drivers)",Non-injecting drug users,Discordant Couples,usaid,cdc,dod,total_facility,total_subcounty,pct_of_subcounty_reached,pct_usaid_subcounty,District,Subcounty,subcounty_pop_adjusted,total,pct_pop_prep
23,Bugiri District,Buwunga Subcounty,Bugiri Buwunga HC III,USAID,1.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,168.0,18.0,26.0,0.0,5.0,1.0,8.0,0.0,9.0,1,0,0,168.0,168.0,1.0,1.0,Bugiri District,Buwunga Subcounty,48164.86,326.0,0.006768419964264403
24,Bugiri District,Eastern Division,Bugiri MC HC III,USAID,7.0,1.0,761.0,12.0,0.0,3.0,1.0,33.0,1153.0,75.0,112.0,0.0,10.0,8.0,130.0,4.0,4.0,1,0,0,1186.0,1186.0,1.0,1.0,Bugiri District,Eastern Division,14238.72,2314.0,0.16251460805465662
25,Bugiri District,Nankoma Subcounty,Nankoma HC IV,USAID,0.0,0.0,48.0,0.0,0.0,10.0,8.0,0.0,138.0,34.0,13.0,0.0,0.0,0.0,5.0,0.0,9.0,1,0,0,138.0,138.0,1.0,1.0,Bugiri District,Nankoma Subcounty,42393.77,265.0,0.0062509184722189136
26,Bugiri District,Western Division,Bugiri Hospital,USAID,0.0,1.0,58.0,2.0,0.0,29.0,14.0,60.0,470.0,20.0,28.0,0.0,58.0,0.0,20.0,0.0,36.0,1,0,0,530.0,530.0,1.0,1.0,Bugiri District,Western Division,15370.69,796.0,0.05178687488980651
27,Buhweju District,Nsiika Town Council,Nsiika HC IV,USAID,0.0,0.0,197.0,0.0,0.0,0.0,0.0,2.0,436.0,18.0,193.0,0.0,0.0,0.0,0.0,0.0,6.0,1,0,0,438.0,438.0,1.0,1.0,Buhweju District,Nsiika Town Council,3044.6800000000003,852.0,0.2798323633353915
28,Buikwe District,Buikwe Town Council,Buikwe HC III,DOD,0.0,0.0,70.0,0.0,0.0,0.0,0.0,5.0,107.0,1.0,35.0,0.0,0.0,1.0,5.0,0.0,0.0,0,0,1,112.0,112.0,1.0,0.0,Buikwe District,Buikwe Town Council,34080.64,224.0,0.00657264652306999
29,Buikwe District,Kiyindi Town Council,Makonge HC III,DOD,0.0,0.0,45.0,0.0,0.0,0.0,0.0,183.0,163.0,32.0,39.0,0.0,193.0,0.0,2.0,0.0,17.0,0,0,1,346.0,346.0,1.0,0.0,Buikwe District,Kiyindi Town Council,,674.0,
30,Buikwe District,Lugazi Central Division,Kawolo Hospital,DOD,116.0,6.0,962.0,0.0,0.0,16.0,2.0,155.0,1084.0,0.0,27.0,0.0,1.0,7.0,13.0,1.0,34.0,0,0,1,1239.0,1892.0,0.654862579281184,0.0,Buikwe District,Lugazi Central Division,41439.99,2424.0,0.05849422260960971
31,Buikwe District,Lugazi Central Division,Lugazi Scoul Hospital,DOD,0.0,0.0,206.0,0.0,0.0,0.0,0.0,398.0,255.0,0.0,1.0,0.0,0.0,24.0,162.0,0.0,248.0,0,0,1,653.0,1892.0,0.3451374207188161,0.0,Buikwe District,Lugazi Central Division,41439.99,1294.0,0.03122587626107053
32,Buikwe District,Najja Subcounty,Makindu HC III,DOD,0.0,0.0,42.0,0.0,0.0,0.0,0.0,27.0,61.0,4.0,5.0,0.0,28.0,0.0,3.0,0.0,2.0,0,0,1,88.0,88.0,1.0,0.0,Buikwe District,Najja Subcounty,90609.1,172.0,0.0018982640816430137
33,Buikwe District,Najjembe Division,Najjembe HC III,DOD,0.0,0.0,140.0,0.0,0.0,6.0,15.0,282.0,463.0,32.0,6.0,0.0,0.0,15.0,477.0,1.0,8.0,0,0,1,745.0,745.0,1.0,0.0,Buikwe District,Najjembe Division,68641.26,1445.0,0.021051478367384285
34,Buikwe District,Ngogwe Subcounty,Ngogwe HC III,DOD,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,66.0,1.0,0.0,0.0,16.0,2.0,0.0,0.0,0.0,0,0,1,66.0,66.0,1.0,0.0,Buikwe District,Ngogwe Subcounty,73179.44,132.0,0.0018037853254957948
35,Buikwe District,Njeru Central Division,Njeru Town Council HC III,DOD,0.0,0.0,64.0,0.0,0.0,1.0,3.0,198.0,13.0,2.0,43.0,0.0,2.0,4.0,75.0,3.0,7.0,0,0,1,211.0,436.0,0.4839449541284403,0.0,Buikwe District,Njeru Central Division,70857.82,415.0,0.005856798868494683
36,Buikwe District,Njeru Central Division,St. Francis Health Care Services HC IV,DOD,0.0,0.0,76.0,0.0,0.0,15.0,45.0,156.0,69.0,9.0,23.0,0.0,2.0,2.0,37.0,0.0,17.0,0,0,1,225.0,436.0,0.5160550458715596,0.0,Buikwe District,Njeru Central Division,70857.82,451.0,0.00636485852937615
37,Buikwe District,Nyenga Division,St. Francis Nyenga Hospital,DOD,0.0,0.0,18.0,0.0,0.0,0.0,0.0,56.0,297.0,4.0,9.0,0.0,263.0,2.0,13.0,0.0,37.0,0,0,1,353.0,353.0,1.0,0.0,Buikwe District,Nyenga Division,102227.5,699.0,0.006837690445330268
38,Buikwe District,Ssi-Bukunja Subcounty,Ssenyi HC II,DOD,0.0,0.0,93.0,0.0,0.0,0.0,0.0,9.0,200.0,6.0,13.0,0.0,93.0,0.0,0.0,0.0,0.0,0,0,1,209.0,355.0,0.5887323943661972,0.0,Buikwe District,Ssi-Bukunja Subcounty,52649.48,414.0,0.00786332552572219
39,Buikwe District,Ssi-Bukunja Subcounty,Ssi HC III,DOD,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,146.0,0.0,13.0,0.0,33.0,0.0,0.0,0.0,1.0,0,0,1,146.0,355.0,0.4112676056338028,0.0,Buikwe District,Ssi-Bukunja Subcounty,52649.48,291.0,0.005527120115906178
40,Buikwe District,Wakisi Division,Wakisi HC III,DOD,0.0,0.0,18.0,0.0,0.0,0.0,1.0,21.0,59.0,0.0,5.0,0.0,6.0,0.0,26.0,12.0,7.0,0,0,1,80.0,80.0,1.0,0.0,Buikwe District,Wakisi Division,84727.8,155.0,0.00182938775702898
41,Bukedea District,Bukedea Town Council,Bukedea HC IV,CDC,0.0,0.0,195.0,0.0,0.0,0.0,0.0,6.0,321.0,12.0,89.0,0.0,0.0,5.0,1.0,0.0,15.0,0,1,0,327.0,327.0,1.0,0.0,Bukedea District,Bukedea Town Council,11254.81,644.0,0.05721997972422458
42,Bukomansimbi District,Bigasa Subcounty,Bigasa HC III,CDC,0.0,3.0,55.0,0.0,0.0,3.0,3.0,51.0,135.0,13.0,34.0,0.0,0.0,0.0,37.0,0.0,25.0,0,1,0,186.0,186.0,1.0,0.0,Bukomansimbi District,Bigasa Subcounty,86536.48,359.0,0.0041485394367785705
43,Bukomansimbi District,Bukomansimbi Town Council,St. Mechtilda Kitaasa HC III,CDC,0.0,0.0,38.0,0.0,0.0,1.0,2.0,24.0,38.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0,1,0,62.0,62.0,1.0,0.0,Bukomansimbi District,Bukomansimbi Town Council,19977.88,106.0,0.005305868290329104
44,Bukomansimbi District,Butenga Town Council,Butenga HC IV,CDC,0.0,0.0,75.0,0.0,0.0,0.0,0.0,22.0,172.0,1.0,24.0,0.0,0.0,1.0,14.0,0.0,32.0,0,1,0,194.0,377.0,0.5145888594164456,0.0,Bukomansimbi District,Butenga Town Council,39608.65,341.0,0.008609230559486375
45,Bukomansimbi District,Butenga Town Council,Luyitayita HC III,CDC,1.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,183.0,77.0,6.0,1.0,0.0,0.0,2.0,0.0,8.0,0,1,0,183.0,377.0,0.4854111405835544,0.0,Bukomansimbi District,Butenga Town Council,39608.65,290.0,0.007321633027129175
46,Bukomansimbi District,Kibinge Subcounty,Mirambi HC III,CDC,0.0,0.0,53.0,0.0,0.0,0.0,1.0,20.0,148.0,7.0,1.0,0.0,0.0,0.0,46.0,0.0,1.0,0,1,0,168.0,168.0,1.0,0.0,Bukomansimbi District,Kibinge Subcounty,67561.82,277.0,0.004099948758041153
47,Bukomansimbi District,Kitanda Subcounty,Kitanda HC III,CDC,0.0,0.0,56.0,0.0,0.0,1.0,2.0,15.0,110.0,4.0,3.0,0.0,0.0,2.0,26.0,0.0,14.0,0,1,0,125.0,295.0,0.423728813559322,0.0,Bukomansimbi District,Kitanda Subcounty,58617.3,233.0,0.003974935727165871
48,Bukomansimbi District,Kitanda Subcounty,Makukuulu HC III,CDC,0.0,0.0,21.0,0.0,0.0,0.0,0.0,170.0,0.0,4.0,9.0,0.0,0.0,0.0,1.0,0.0,91.0,0,1,0,170.0,295.0,0.576271186440678,0.0,Bukomansimbi District,Kitanda Subcounty,58617.3,296.0,0.005049703756399561
49,Buliisa District,Biiso Town Council,Biiso HC IV,CDC,2.0,0.0,64.0,0.0,0.0,0.0,2.0,18.0,188.0,11.0,22.0,0.0,55.0,1.0,22.0,16.0,0.0,0,1,0,206.0,206.0,1.0,0.0,Buliisa District,Biiso Town Council,16869.34,401.0,0.0237709359109485
50,Buliisa District,Buliisa Town Council,Buliisa HC IV,CDC,0.0,0.0,30.0,0.0,0.0,12.0,14.0,44.0,102.0,29.0,0.0,0.0,36.0,0.0,4.0,0.0,5.0,0,1,0,146.0,146.0,1.0,0.0,Buliisa District,Buliisa Town Council,7455.14,276.0,0.037021437558516675
51,Buliisa District,Kigwera Subcounty,Kigwera HC III,CDC,0.0,0.0,23.0,0.0,0.0,1.0,1.0,24.0,12.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0,1,0,36.0,36.0,1.0,0.0,Buliisa District,Kigwera Subcounty,14036.84,69.0,0.0049156362828100915
52,Bundibugyo District,Bundibugyo Town Council,Bundibugyo Hospital,CDC,0.0,0.0,52.0,0.0,0.0,0.0,0.0,2.0,144.0,40.0,10.0,0.0,0.0,0.0,4.0,0.0,3.0,0,1,0,146.0,146.0,1.0,0.0,Bundibugyo District,Bundibugyo Town Council,19520.56,255.0,0.013063149827668877
53,Bunyangabu District,Kabonero Subcounty,Kabonero HC III,CDC,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,13.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,13.0,13.0,1.0,0.0,Bunyangabu District,Kabonero Subcounty,19934.62,22.0,0.0011036076935502157
54,Bunyangabu District,Kibiito Town Council,Kibiito HC IV,CDC,21.0,0.0,77.0,0.0,0.0,0.0,0.0,5.0,271.0,52.0,42.0,0.0,0.0,0.0,14.0,8.0,11.0,0,1,0,276.0,289.0,0.9550173010380624,0.0,Bunyangabu District,Kibiito Town Council,13171.64,501.0,0.0380362657952996
55,Bunyangabu District,Kibiito Town Council,Kibito Prisons Health Centre II,,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,6.0,289.0,0.0207612456747404,0.0,Bunyangabu District,Kibiito Town Council,13171.64,12.0,0.0009110482825221461
56,Bunyangabu District,Kibiito Town Council,Yerya HC III,CDC,0.0,0.0,3.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0,1,0,7.0,289.0,0.0242214532871972,0.0,Bunyangabu District,Kibiito Town Council,13171.64,14.0,0.0010628896629425039
57,Bunyangabu District,Kiyombya Subcounty,Kiyombya HC III,CDC,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,188.0,0.0,24.0,0.0,0.0,1.0,19.0,0.0,25.0,0,1,0,188.0,188.0,1.0,0.0,Bunyangabu District,Kiyombya Subcounty,2011.59,367.0,0.18244274429680005
58,Bunyangabu District,Nyakigumba Town Council,Kisomoro HC III,CDC,2.0,0.0,6.0,0.0,0.0,1.0,1.0,5.0,137.0,6.0,6.0,0.0,0.0,0.0,80.0,0.0,4.0,0,1,0,142.0,142.0,1.0,0.0,Bunyangabu District,Nyakigumba Town Council,2650.19,248.0,0.0935781962802667
59,Bunyangabu District,Rwiimi Town Council,Rwimi HC III,CDC,4.0,0.0,141.0,0.0,0.0,24.0,22.0,8.0,280.0,20.0,82.0,0.0,0.0,0.0,3.0,0.0,0.0,0,1,0,288.0,297.0,0.9696969696969696,0.0,Bunyangabu District,Rwiimi Town Council,16702.48,584.0,0.034964867492731616
60,Bunyangabu District,Rwiimi Town Council,Rwimi Prisons Health Centre III,,0.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,9.0,297.0,0.0303030303030303,0.0,Bunyangabu District,Rwiimi Town Council,16702.48,18.0,0.0010776842720362485
61,Bushenyi District,Central Division,Bushenyi HC IV,USAID,3.0,0.0,95.0,0.0,0.0,0.0,0.0,225.0,1.0,0.0,70.0,0.0,0.0,3.0,5.0,0.0,23.0,1,0,0,226.0,227.0,0.9955947136563876,0.9955947136563876,Bushenyi District,Central Division,82879.98,425.0,0.005127896990322633
62,Bushenyi District,Central Division,Bushenyi Ug. Prisons Health Centre III,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0,227.0,0.0044052863436123,0.9955947136563876,Bushenyi District,Central Division,82879.98,2.0,2.413127995445945e-05
63,Bushenyi District,Ishaka Division,Ishaka Adventist Hospital,USAID,12.0,2.0,176.0,13.0,0.0,0.0,0.0,14.0,587.0,34.0,39.0,1.0,1.0,29.0,89.0,40.0,19.0,1,0,0,601.0,645.0,0.931782945736434,1.0,Bushenyi District,Ishaka Division,16932.170000000002,1056.0,0.062366489351335354
64,Bushenyi District,Ishaka Division,Kiu Teaching Hospital,USAID,0.0,0.0,11.0,0.0,0.0,0.0,1.0,44.0,0.0,4.0,5.0,0.0,0.0,3.0,3.0,1.0,10.0,1,0,0,44.0,645.0,0.0682170542635658,1.0,Bushenyi District,Ishaka Division,16932.170000000002,82.0,0.004842852392812025
65,Bushenyi District,Kyabugimbi Town Council,Kyabugimbi HC IV,USAID,2.0,0.0,168.0,5.0,0.0,0.0,0.0,0.0,313.0,9.0,13.0,0.0,0.0,0.0,0.0,0.0,30.0,1,0,0,313.0,313.0,1.0,1.0,Bushenyi District,Kyabugimbi Town Council,19853.25,540.0,0.027199576895470513
66,Bushenyi District,Kyamuhunga Town Council,Comboni Hospital,USAID,3.0,0.0,67.0,0.0,0.0,0.0,0.0,43.0,70.0,4.0,3.0,0.0,0.0,0.0,16.0,2.0,11.0,1,0,0,113.0,113.0,1.0,1.0,Bushenyi District,Kyamuhunga Town Council,15298.59,219.0,0.014315044719807511
67,Bushenyi District,Kyeizooba Subcounty,Kyeizooba HC III,USAID,0.0,0.0,193.0,0.0,0.0,0.0,0.0,71.0,152.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,223.0,223.0,1.0,1.0,Bushenyi District,Kyeizooba Subcounty,27439.2,436.0,0.01588967608385084
68,Busia District,Buteba Subcounty,Buteba HC III,USAID,42.0,7.0,297.0,75.0,0.0,0.0,0.0,1.0,829.0,104.0,121.0,0.0,45.0,21.0,83.0,22.0,1.0,1,0,0,830.0,830.0,1.0,1.0,Busia District,Buteba Subcounty,28366.2,1648.0,0.05809731299927378
69,Busia District,Dabani Subcounty,Dabani Hospital,USAID,10.0,5.0,207.0,52.0,0.0,0.0,0.0,37.0,685.0,81.0,107.0,0.0,40.0,14.0,74.0,49.0,1.0,1,0,0,722.0,722.0,1.0,1.0,Busia District,Dabani Subcounty,30016.26,1362.0,0.045375406529660926
70,Busia District,Lumino-Majanji Town Council,Lumino Foc Rev HC III,USAID,2.0,2.0,80.0,37.0,0.0,0.0,0.0,0.0,287.0,16.0,32.0,0.0,21.0,5.0,46.0,12.0,0.0,1,0,0,287.0,287.0,1.0,1.0,Busia District,Lumino-Majanji Town Council,,540.0,
71,Busia District,Masafu Town Council,Masafu Hospital,USAID,0.0,0.0,5.0,3.0,0.0,1.0,1.0,38.0,49.0,6.0,4.0,0.0,2.0,3.0,19.0,0.0,23.0,1,0,0,87.0,87.0,1.0,1.0,Busia District,Masafu Town Council,20757.59,154.0,0.007418973011799539
72,Busia District,Western Division,Busia HC IV,USAID,147.0,0.0,750.0,19.0,0.0,0.0,0.0,21.0,906.0,0.0,8.0,0.0,0.0,0.0,1.0,2.0,2.0,1,0,0,927.0,1944.0,0.4768518518518518,1.0,Busia District,Western Division,23548.89,1856.0,0.07881475517529701
73,Busia District,Western Division,Nabulola HC III,USAID,21.0,3.0,242.0,40.0,0.0,0.0,0.0,0.0,1017.0,133.0,141.0,0.0,63.0,13.0,103.0,50.0,1.0,1,0,0,1017.0,1944.0,0.5231481481481481,1.0,Busia District,Western Division,23548.89,1827.0,0.077583274625683
74,Butambala District,Budde Subcounty,Kyabadaza HC III,CDC,0.0,0.0,32.0,0.0,0.0,0.0,0.0,1.0,124.0,10.0,14.0,0.0,1.0,0.0,0.0,0.0,11.0,0,1,0,125.0,125.0,1.0,0.0,Butambala District,Budde Subcounty,28292.04,193.0,0.006821706741542851
75,Butambala District,Bulo Subcounty,Bulo HC III,CDC,0.0,0.0,75.0,0.0,0.0,1.0,1.0,7.0,188.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,20.0,0,1,0,195.0,195.0,1.0,0.0,Butambala District,Bulo Subcounty,38979.32,301.0,0.0077220433809517455
76,Butambala District,Gombe Town Council,Gombe Hospital,CDC,0.0,0.0,52.0,0.0,0.0,20.0,12.0,38.0,315.0,7.0,22.0,0.0,0.0,1.0,9.0,0.0,79.0,0,1,0,353.0,353.0,1.0,0.0,Butambala District,Gombe Town Council,32039.18,555.0,0.017322540714213037
77,Butambala District,Ngando Subcounty,Ngando HC III,CDC,0.0,0.0,32.0,0.0,0.0,0.0,1.0,0.0,129.0,8.0,24.0,0.0,0.0,0.0,0.0,0.0,6.0,0,1,0,129.0,129.0,1.0,0.0,Butambala District,Ngando Subcounty,38441.66,200.0,0.005202688957760928
78,Buvuma District,Bugaya Subcounty,Bugaya HC III,DOD,0.0,0.0,12.0,0.0,0.0,0.0,0.0,141.0,61.0,0.0,0.0,0.0,190.0,0.0,0.0,0.0,0.0,0,0,1,202.0,202.0,1.0,0.0,Buvuma District,Bugaya Subcounty,9978.64,404.0,0.04048647911939904
79,Buvuma District,Busamuzi Subcounty,Busamuzi HC III,DOD,0.0,1.0,57.0,0.0,0.0,0.0,1.0,251.0,87.0,8.0,15.0,0.0,239.0,0.0,4.0,0.0,13.0,0,0,1,338.0,338.0,1.0,0.0,Buvuma District,Busamuzi Subcounty,33551.22,676.0,0.02014829863116751
80,Buvuma District,Buvuma Town Council,Buvuma HC IV,DOD,0.0,0.0,106.0,0.0,0.0,0.0,1.0,275.0,295.0,0.0,29.0,0.0,433.0,0.0,0.0,0.0,1.0,0,0,1,570.0,570.0,1.0,0.0,Buvuma District,Buvuma Town Council,20466.1,1140.0,0.055701867967028404
81,Buvuma District,Buwooya Subcounty,Buwooya HC III,DOD,0.0,0.0,16.0,0.0,0.0,0.0,0.0,74.0,135.0,0.0,5.0,0.0,184.0,0.0,0.0,0.0,3.0,0,0,1,209.0,209.0,1.0,0.0,Buvuma District,Buwooya Subcounty,26435.98,417.0,0.01577395655466527
82,Buvuma District,Bweema Subcounty,Bweema HC II,DOD,0.0,0.0,47.0,0.0,0.0,0.0,0.0,293.0,14.0,0.0,1.0,0.0,258.0,1.0,0.0,0.0,0.0,0,0,1,307.0,655.0,0.4687022900763359,0.0,Buvuma District,Bweema Subcounty,18074.44,614.0,0.033970623709503586
