,,,,,,,,,,,,,,,,,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,PP_PREV,PP_PREV,PP_PREV,PP_PREV,PP_PREV,PP_PREV,PP_PREV,PP_PREV2,PP_PREV3,PP_PREV4,PP_PREV5,PP_PREV6,PP_PREV7,PP_PREV8,PP_PREV9,PP_PREV10,PP_PREV11,HIV_test,HIV_test,HIV_test,HIV_test,HIV_test,HIV_test,HIV_test,HIV_test,HIV_test,HIV_test,HIV_pos_test,HIV_pos_test,HIV_pos_test,HIV_pos_test,HIV_pos_test,HIV_pos_test,HIV_pos_test,HIV_pos_test,HIV_pos_test,HIV_pos_test,New_ART,New_ART,New_ART,New_ART,New_ART,New_ART,New_ART,New_ART,New_ART,New_ART,PP_ART,PP_ART,PP_ART,PP_ART,PP_ART,PP_ART,PP_ART,PP_ART,PP_ART,PP_ART,VL eligible,VL eligible,VL eligible,VL eligible,VL eligible,VL eligible,VL eligible,VL eligible,VL eligible,VL eligible,VL_lab_doc,VL_lab_doc,VL_lab_doc,VL_lab_doc,VL_lab_doc,VL_lab_doc,VL_lab_doc,VL_lab_doc,VL_lab_doc,VL_lab_doc,VL_supp,VL_supp,VL_supp,VL_supp,VL_supp,VL_supp,VL_supp,VL_supp,VL_supp,VL_supp,summary,summary,summary,summary,summary,summary,summary,summary,summary,summary,summary,summary,summary,summary
Kampala,Kampala District,Central Division (Kampala CCA),AIDS Information Centre (Kampala) Special Clinic,rxoAz9lkuSi,,kB0HFAWMU0V,tCjjKuunNPD,Central Division,rxoAz9lkuSi,Kampala District,Central Division,AIDS Information Centre (Kampala) Special Clinic,ROM_Kampala Region,87040,CDC,FY2024Q4,"1,438",1,,47,293,176,135,22,214,20,175,12,133,2,104,2,58,1,43,,192,1241,,7,1,856,15,42,2,2,517,405,1,87,856,15,,42,2,2,25,362,0,18,833,0,0,0,0,2,23,4,0,0,9,0,0,0,0,0,0,4,0,0,8,0,0,0,0,0,0,29,1,60,14,9,0,31,0,0,1,22,0,40,7,9,0,22,0,0,0,22,0,40,6,9,0,20,0,0,0,22,0,37,5,7,0,18,0,0,0,"1,438","1,440",192,"1,241",,7,"1,238",13,12,145,100,97,89,FALSE
Ankole,Mbarara City,Kakoba Division,AIDS Information Centre (Mbarara) Special Clinic,sPWbPZtb3ut,,x6mChfIb7H2,KZ2vT9g5YbY,Kakoba Division,sPWbPZtb3ut,Mbarara City,Mbarara South Division,AIDS Information Centre (Mbarara) Special Clinic,UPMB_LSD,81995,USAID,FY2024Q4,518,1,,19,18,86,25,1,73,5,53,2,109,4,63,1,26,5,27,,73,424,,,,383,15,47,1,,73,33,,33,383,15,39,8,1,,7,20,0,24,339,10,24,3,0,0,6,0,0,0,10,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,1,6,0,2,34,3,5,3,0,0,1,4,0,5,25,1,1,1,1,0,0,4,0,5,25,1,8,1,1,0,0,4,0,5,24,1,8,1,1,0,0,518,497,73,424,,,426,11,11,54,38,45,44,FALSE
Lango,Apac District,Akokoro Subcounty,Akokoro HC III,rjOHz4O83zh,,mOUafJWBWfR,YGFo3wMctNA,Akokoro Subcounty,rjOHz4O83zh,Apac District,Akokoro Town Council,Akokoro HC III,JCRC_Kigezi Lango Region,81997,USAID,FY2024Q4,331,,,13,16,40,3,16,56,20,70,12,29,2,43,3,4,,4,,22,314,,,,17,2,53,209,26,25,1,,8,17,2,45,8,209,26,16,1,0,8,16,1,44,8,203,24,9,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0,2,0,8,0,0,0,0,0,1,1,2,0,12,2,5,0,0,0,1,1,2,0,2,0,1,0,0,0,1,1,1,0,2,0,1,0,0,0,1,1,1,0,1,0,1,331,336,22,314,,,314,10,10,23,7,6,5,FALSE
Lango,Alebtong District,Alebtong Town Council,Alebtong HC IV,RdmsO9Kftg9,,OhR3CIdEy6T,gYc6FjphwAK,Alebtong Town council,RdmsO9Kftg9,Alebtong District,Alebtong Town Council,Alebtong HC IV,JCRC_Kigezi Lango Region,81997,USAID,FY2024Q4,2,,,,,,,1,,,,,,,,,,,1,,,59,,,,,,0,,,60,,,,,,,,,,60,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,59,,59,,,59,0,0,0,0,0,0,FALSE
Kampala,Kampala District,Makindye Division,Alive Medical Services Special Clinic,PHhcBpjIWvL,,AW0nP2fFGdm,Va0wK97KXaI,Makindye Division,PHhcBpjIWvL,Kampala District,Makindye Division,Alive Medical Services Special Clinic,UPMB,84980,CDC,FY2024Q4,509,43,,,157,11,64,22,31,22,38,19,19,15,21,5,15,5,22,,311,160,1,,1,25,35,20,23,,399,248,1,131,25,35,2,18,23,,20,61,0,52,12,20,0,6,0,0,4,14,0,0,0,3,0,1,0,0,0,14,0,0,0,2,0,1,0,0,0,95,0,34,0,7,0,9,12,0,3,114,0,43,2,10,16,8,16,0,4,102,0,42,2,8,0,5,13,0,4,75,0,39,2,6,0,5,8,0,3,509,472,311,160,1,,155,18,17,160,213,176,138,FALSE
Lango,Lira District,Amach Subcounty,Amach HC IV,ah2PY0hhVkV,,cfy9cOni5AM,w1eEMvV7mxz,Amach Subcounty,ah2PY0hhVkV,Lira District,Amach Town Council,Amach HC IV,JCRC_Kigezi Lango Region,81997,USAID,FY2024Q4,251,2,,11,34,19,19,35,29,12,20,9,24,4,11,,12,,10,,11,279,,11,,45,1,9,,81,155,68,,3,45,1,2,7,,81,84,68,0,3,44,1,2,7,0,79,75,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,4,0,0,0,1,0,0,0,0,1,7,0,0,0,1,0,0,0,0,1,7,0,0,0,1,0,0,0,0,1,7,251,301,11,279,,11,279,1,1,6,9,9,9,FALSE
Karamoja,Abim District,Abim Subcounty,Amita Prison HC II,Owvv3PbIrZ2,,VvDYjfe8kt7,HR5NsgdaM9i,Abim Subcounty,Owvv3PbIrZ2,Abim District,Abim Subcounty,Amita Prison HC II,UPS,84974,CDC,FY2024Q4,1,,,,,,,,,,,,,,1,,,,,,1,,,,,,,0,,,1,,,1,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,,,,0,0,0,0,1,1,1,TRUE
Lango,Amolatar District,Amolatar Town Council,Amolatar HC IV,XazfKCvCCLS,,fDlQx7nXPLd,Lk63CYz4bQ9,Amolatar Town Council,XazfKCvCCLS,Amolatar District,Amolatar Town Council,Amolatar HC IV,JCRC_Kigezi Lango Region,81997,USAID,FY2024Q4,756,,,31,136,84,62,108,112,50,72,17,37,9,10,2,8,2,16,,45,716,,,,3,,3,364,3,384,4,,4,3,,2,1,364,3,376,4,0,4,0,0,0,0,342,0,366,0,0,0,0,0,0,0,5,0,8,0,0,0,0,0,0,0,5,0,8,0,0,0,1,0,2,1,25,2,11,0,0,0,3,0,20,1,20,3,7,0,0,0,3,0,2,1,20,3,7,0,0,0,3,0,2,1,19,3,7,756,761,45,716,,,716,13,13,42,54,36,35,FALSE
Lango,Lira City,Lira Subcounty,Amuca SDA HC III,pNHDdE8BJt8,,uTzexpmD2rk,FetVc0FYpgb,Lira Subcounty,pNHDdE8BJt8,Lira City,Lira West Division,Amuca SDA HC III,UPMB_LSD,81995,USAID,FY2024Q4,80,,,7,3,24,,2,19,,9,,5,1,5,,,1,4,,7,73,,,,46,3,19,,3,9,,,9,46,3,8,11,,3,,0,0,9,45,2,5,11,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,1,1,2,0,0,2,0,0,0,0,1,1,2,0,0,2,0,80,80,7,73,,,73,3,0,0,4,6,6,TRUE
Teso,Amuria District,Amuria Town Council,Amuria Hospital,oRHreBW5Tyr,,CaGjhbitWT4,ReHM0Uvbz0V,Amuria Town Council,oRHreBW5Tyr,Amuria District,Amuria Town Council,Amuria Hospital,AIC_Soroti Region,87041,CDC,FY2024Q4,32,,,1,,1,,5,2,2,3,2,2,4,3,2,4,1,,,2,15,,10,,,1,1,,,30,,,15,,1,,1,,,15,0,0,13,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,32,27,2,15,,10,15,0,0,2,1,1,1,TRUE
West Nile,Nebbi District,Nyaravur Subcounty,Angal Hospital,K7Do3WBvmLa,,qDyRBZN7FQT,VhhycykuTeI,Nyaravur Subcounty,K7Do3WBvmLa,Nebbi District,Nyaravur Town Council,Angal Hospital,UEC,81974,CDC,FY2024Q4,184,,,9,28,18,7,12,22,16,16,13,11,7,7,1,4,3,10,,,183,,2,,,2,4,,,179,17,,12,,2,3,1,,,150,17,0,12,0,2,3,1,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,185,,183,,2,183,0,0,0,0,0,0,FALSE
Lango,Oyam District,Oyam Town Council,Anyeke HC IV,EYklRtOZrwz,,MtV9FMFMftu,xZxqFusij8r,Oyam Town council,EYklRtOZrwz,Oyam District,Oyam Town Council,Anyeke HC IV,JCRC_Kigezi Lango Region,81997,USAID,FY2024Q4,557,,,23,95,62,21,59,59,45,50,11,32,17,24,8,12,15,24,,61,544,,,,230,6,20,4,53,280,19,,3,230,6,20,,4,53,258,19,0,0,220,0,8,0,3,41,253,0,0,0,14,0,0,0,0,1,10,0,0,0,14,0,0,0,0,1,10,0,0,2,18,4,11,0,1,11,8,0,0,2,8,2,0,0,0,9,4,0,0,2,8,2,10,0,0,9,4,0,0,2,8,2,10,0,0,9,4,557,605,61,544,,,544,25,25,55,25,35,35,FALSE
Busoga,Jinja City,Bugembe Town Council,Aoet HC II,YUaxNtqNWFW,,bwd3Djnho5E,y4rK9Qf0yT9,Bugembe Town Council,YUaxNtqNWFW,Jinja City,Jinja North Division,Aoet HC II,UPMB_LSD,81995,USAID,FY2024Q4,232,2,,6,7,29,7,10,41,8,41,6,31,2,21,4,7,3,7,,49,183,,,1,39,10,67,84,14,17,9,1,1,39,10,17,50,84,14,7,9,1,1,34,8,14,34,66,11,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,2,5,14,1,0,0,0,0,3,2,9,11,9,2,2,0,0,0,2,2,1,6,8,1,2,0,0,0,1,2,1,5,8,1,1,232,232,49,183,,,183,1,1,27,38,22,19,TRUE
Lango,Apac District,Akere Division,Apac Hospital,OeBKA5gCBXG,,spiSNR6SuZz,jyGZ31cUSnw,Akele Division,OeBKA5gCBXG,Apac District,Akere Division,Apac Hospital,JCRC_Kigezi Lango Region,81997,USAID,FY2024Q4,413,,,20,50,53,10,14,72,15,76,18,42,9,16,5,3,4,6,,29,391,,,,27,1,151,127,22,86,37,,44,27,1,144,7,127,22,5,37,0,43,13,0,138,7,126,22,4,0,0,0,0,0,6,0,1,2,0,0,0,0,0,0,6,0,1,2,0,0,0,1,9,0,11,0,1,1,0,0,0,1,2,1,0,0,0,0,1,0,0,1,2,1,5,0,0,0,1,0,0,1,2,0,5,0,0,0,1,413,420,29,391,,,390,9,9,23,5,10,9,FALSE
Teso,Serere District,Bugondo Subcounty,Apapai HC IV,qzSy84YdUkX,,U7nanCZTlvQ,HRIQ5kV9Xw7,Bugondo Subcounty,qzSy84YdUkX,Serere District,Bugondo Subcounty,Apapai HC IV,AIC_Soroti Region,87041,CDC,FY2024Q4,2,,,,1,,,1,,,,,,,,,,,,,,2,,,,2,,0,,,0,,,,2,,,,,,,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,2,,,2,0,0,0,0,0,0,TRUE
Lango,Amolatar District,Aputi Subcounty,Aputi HC III,XQqrn8K8jyL,,Xy8S9ISZYxs,sCm9GqUj6FO,Aputi Subcounty,XQqrn8K8jyL,Amolatar District,Aputi Subcounty,Aputi HC III,JCRC_Kigezi Lango Region,81997,USAID,FY2024Q4,252,1,,14,34,26,20,34,35,14,23,11,18,4,7,2,4,4,1,,23,233,,,,3,,0,121,3,125,,,,3,,,,121,3,125,0,0,0,0,0,0,0,111,0,122,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,3,0,0,0,8,1,5,0,0,0,3,0,11,0,11,3,4,0,0,0,3,0,0,0,11,3,4,0,0,0,3,0,0,0,11,3,4,252,256,23,233,,,233,4,4,17,32,21,21,TRUE
Karamoja,Moroto District,Northern Division (Moroto MC),Army Barracks HC III,pE5320aADcw,,OELkOLxvZxB,0,0,pE5320aADcw,Moroto District,Northern Division,Army Barracks HC III,URC_DOD_UPDF,160698,DOD,FY2024Q4,184,,,1,34,44,2,26,43,2,13,,10,,3,,1,,5,,1,141,,52,,6,177,0,,,1,,,,6,177,,,,,1,0,0,0,2,138,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,194,1,141,,52,141,0,0,1,0,0,0,TRUE
Lango,Lira District,Aromo Subcounty,Aromo HC III,SvBwj5ZrWMx,,dP8hPN7Qn5c,oFPCsuCkamQ,Aromo Subcounty,SvBwj5ZrWMx,Lira District,Aromo Subcounty,Aromo HC III,JCRC_Kigezi Lango Region,81997,USAID,FY2024Q4,183,,,17,17,28,9,16,34,7,19,8,14,,7,1,4,1,1,,13,169,,20,,103,1,1,,10,68,6,,10,103,1,,1,,10,52,6,0,9,99,1,0,1,0,9,44,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,3,183,202,13,169,,20,169,2,2,7,5,5,5,TRUE
