Statistical Region,UAIS 2011_ Region,PIRS UnitID,PIRS District,PIRS Subcounty,PIRS Service outlet,PIRS Mechanism name,pirs Mechanism ID,PIRS US Agency,DATIM ID,DHIS2 ID,DHIS2 District,DHIS2 Subcounty,DHIS2 HF Name,COP  Mechanism name,COP  Mechanism ID,COP US Agency,Type of Support,Period,Numerator (Overall TOTAL),Unknown age Female,"Female
<1yr","Female
1-4yrs","Female
5-9yrs","Female
10-14 yrs","Female
15-19 yrs","Female
20-24 yrs","Female
25-29 yrs","Female
30-34 yrs","Female
35-39 yrs","Female
40-44 yrs","Female
45-49 yrs","Female
 50-54 yrs","Female
 55-59 yrs","Female
 60-64 yrs","Female
 65+ yrs","Male
Unknown age ","Male
<1yr","Male
1-4yrs","Male
5-9yrs","Male
10-14 yrs","Male
15-19 yrs","Male
20-24 yrs","Male
25-29 yrs","Male
30-34 yrs","Male
35-39 yrs","Male
40-44 yrs","Male
45-49 yrs","Male
 50-54 yrs","Male
 55-59 yrs","Male
 60-64 yrs","Male
 65+ yrs","Sex Workers, Female",People in prisons and other enclosed settings (Incarcerated Population),PWID,MSM,Transgender,"<3 months of ARVs dispensed by Unknown Age, Female","<3 months of ARVs dispensed by Unknown Age, Male","<3 months of ARVs dispensed by <15yrs, Female","<3 months of ARVs dispensed by <15yrs, Male","<3 months of ARVs dispensed by 15+yrs, Female","<3 months of ARVs dispensed by 15+yrs, Male","3-5 months of ARVs dispensed to patient by Unknown Age, Female","3-5 months of ARVs dispensed to patient by Unknown Age, Male","3-5 months of ARVs dispensed to patient by <15yrs, Female","3-5 months of ARVs dispensed to patient by <15yrs, Male","3-5 months of ARVs dispensed to patient by 15+yrs, Female","3-5 months of ARVs dispensed to patient by 15+yrs, Male","4 or more months of ARVs dispensed to patient by Unknown Age, Female","5 or more months of ARVs dispensed to patient by Unknown Age, Male","6 or more months of ARVs dispensed to patient by <15yrs, Female","6 or more months of ARVs dispensed to patient by <15yrs, Male","6 or more months of ARVs dispensed to patient by 15+yrs, Female","6 or more months of ARVs dispensed to patient by 15+yrs, Male",subcounty_ART_total,pct_art_pop_subcounty,usaid,cdc,dod,Subcounty,District,County,Subcounty Population,subcounty_pop_adjusted
Eastern Region,North East,X8l6y8IN4z9,Ngora District,Mukura Subcounty,Ajeluk Health Centre III,AIC Soroti  Region,87041.0,CDC,sU0Bb1t9Lu7,X8l6y8IN4z9,Ngora District,Mukura Subcounty,Ajeluk Health Centre III,AIC_Soroti Region,87041,CDC,DSD,FY2025Q1,84,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,7.0,6.0,3.0,4.0,3.0,7.0,13.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,4.0,4.0,3.0,7.0,0.0,1.0,3.0,0,0,0,0,0,,,0,1,4,2,,,0,0,44,27,,,0,0,1,5,520.0,0.1615384615,0,1,0,Mukura,Ngora,Ngora,33586.0,34593.58
Eastern Region,North East,fFMFDu21aWq,Katakwi District,Ongongoja Subcounty,Aketa Health Centre III,AIC Soroti  Region,87041.0,CDC,SZOvLljxrhF,fFMFDu21aWq,Katakwi District,Ongongoja Subcounty,Aketa Health Centre III,AIC_Soroti Region,87041,CDC,DSD,FY2025Q1,576,0.0,0.0,3.0,1.0,12.0,6.0,16.0,20.0,37.0,57.0,45.0,41.0,27.0,25.0,14.0,39.0,0.0,0.0,1.0,3.0,14.0,5.0,5.0,8.0,15.0,31.0,28.0,42.0,30.0,18.0,12.0,21.0,0,0,0,0,0,,,1,1,3,0,,,14,15,154,92,,,2,4,169,121,576.0,1.0,0,1,0,Ongongoja,Katakwi,Usuk,16419.0,16911.57
Eastern Region,North East,usd4FQttAvy,Katakwi District,Katakwi Subcounty,Akoboi Health Centre II,AIC Soroti  Region,87041.0,CDC,Ah3VdkuUl9Z,usd4FQttAvy,Katakwi District,Katakwi Subcounty,Akoboi Health Centre III,AIC_Soroti Region,87041,CDC,DSD,FY2025Q1,32,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,6.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,,,0,0,0,0,,,0,0,32,0,,,0,0,0,0,32.0,1.0,0,1,0,Katakwi,Katakwi,Usuk,36902.0,38009.06
Western Region,Mid Western,Gohyg1mIhi6,Masindi District,Pakanyi Subcounty,Alimugonza Health Centre II,Baylor Hoima Region,81977.0,CDC,FqSHRaEAkwr,Gohyg1mIhi6,Masindi District,Pakanyi Subcounty,Alimugonza Health Centre II,Baylor_Hoima Region,81977,CDC,DSD,FY2025Q1,100,0.0,0.0,0.0,1.0,3.0,2.0,8.0,16.0,10.0,10.0,8.0,5.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,4.0,5.0,5.0,3.0,3.0,1.0,1.0,0,0,0,0,0,,,0,1,13,2,,,3,0,28,16,,,1,1,25,10,100.0,1.0,0,1,0,Pakanyi,Masindi,Buruli,58402.0,60154.060000000005
Central Region,Kampala,PHhcBpjIWvL,Kampala District,Makindye Division,Alive Medical Services Clinic,UPMB,84980.0,CDC,AW0nP2fFGdm,PHhcBpjIWvL,Kampala District,Makindye Division,Alive Medical Services Clinic,UPMB,84980,CDC,DSD,FY2025Q1,7438,0.0,0.0,2.0,23.0,67.0,89.0,154.0,366.0,643.0,839.0,859.0,721.0,564.0,350.0,197.0,141.0,0.0,0.0,8.0,30.0,45.0,83.0,56.0,121.0,177.0,336.0,338.0,408.0,360.0,241.0,132.0,88.0,0,0,1,0,0,,,9,12,290,143,,,50,41,901,405,,,30,30,3732,1792,26503.0,0.2806474739,0,1,0,Makindye Division,Kampala,KCCA,786016.0,809596.48
Western Region,Mid Western,jEWfNHf8Ayt,Kibaale District,Kasimbi Subcounty,Alustin Health Centre III,Baylor Hoima Region,81977.0,CDC,uaZUryFkeAy,jEWfNHf8Ayt,Kibaale District,Kasimbi Subcounty,Alustin Health Centre III,Baylor_Hoima Region,81977,CDC,DSD,FY2025Q1,44,0.0,0.0,1.0,0.0,0.0,2.0,10.0,6.0,9.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,,,0,1,7,2,,,1,0,20,0,,,0,0,6,7,44.0,1.0,0,1,0,Kasimbi,Kibaale,Buyanja,10040.0,10341.2
Eastern Region,North East,VEc0XL8e8Sa,Kaberamaido District,Alwa Subcounty,Alwa Health Centre III,AIC Soroti  Region,87041.0,CDC,vRhPd6LwMx5,VEc0XL8e8Sa,Kaberamaido District,Alwa Subcounty,Alwa Health Centre III,AIC_Soroti Region,87041,CDC,DSD,FY2025Q1,353,0.0,0.0,2.0,1.0,6.0,10.0,14.0,24.0,22.0,25.0,33.0,23.0,27.0,13.0,14.0,8.0,0.0,0.0,0.0,3.0,7.0,5.0,1.0,6.0,16.0,20.0,22.0,16.0,12.0,12.0,5.0,6.0,0,0,0,0,0,,,3,5,17,5,,,4,2,61,24,,,2,3,135,92,353.0,1.0,0,1,0,Alwa,Kaberamaido,Kaberamaido,23332.0,24031.96
Eastern Region,North East,N8L6gKVGOCM,Amuria District,Apeduru Subcounty,Amucu Health Centre III,UEC,81974.0,CDC,Xu8NcSZYAgm,N8L6gKVGOCM,Amuria District,Apeduru Subcounty,Amucu Health Centre III,UEC,81974,CDC,DSD,FY2025Q1,117,0.0,0.0,1.0,0.0,0.0,1.0,2.0,5.0,12.0,14.0,12.0,5.0,8.0,3.0,4.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,7.0,6.0,10.0,4.0,7.0,2.0,5.0,0.0,0,0,0,0,0,,,0,0,2,3,,,1,1,13,5,,,0,0,55,37,117.0,1.0,0,1,0,Apeduru,Amuria,Amuria,14718.0,15159.54
Eastern Region,North East,oRHreBW5Tyr,Amuria District,Amuria Town Council,Amuria General Hospital,AIC Soroti  Region,87041.0,CDC,CaGjhbitWT4,oRHreBW5Tyr,Amuria District,Amuria Town Council,Amuria General Hospital,AIC_Soroti Region,87041,CDC,DSD,FY2025Q1,1076,0.0,0.0,2.0,1.0,20.0,15.0,25.0,54.0,73.0,98.0,91.0,90.0,192.0,,,,0.0,0.0,2.0,2.0,18.0,20.0,16.0,12.0,30.0,39.0,78.0,57.0,141.0,,,,0,0,0,0,0,,,3,3,60,42,,,13,14,204,112,,,3,1,369,228,1076.0,1.0,0,1,0,Amuria Town Council,Amuria,Amuria,7262.0,7479.860000000001
Eastern Region,North East,kwd5xyrWwvO,Amuria District,Kuju Subcounty,Amusus Health Centre III,AIC Soroti  Region,87041.0,CDC,H0cMt78YoEm,kwd5xyrWwvO,Amuria District,Kuju Subcounty,Amusus Health Centre III,AIC_Soroti Region,87041,CDC,DSD,FY2025Q1,66,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,5.0,7.0,3.0,7.0,3.0,0.0,3.0,5.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,5.0,5.0,1.0,0.0,1.0,0.0,3.0,0,0,0,0,0,,,0,3,42,11,,,0,0,21,7,,,0,0,0,0,66.0,1.0,0,1,0,Kuju,Amuria,Amuria,18066.0,18607.98
Western Region,South Western,BoGS6ZmpQc2,Bushenyi District,Kyamuhunga Town Council,Ankole Tea Factory Health Centre II,UPMB LSD,81995.0,USAID,Ih6tVeWQrSD,BoGS6ZmpQc2,Bushenyi District,Kyamuhunga Town Council,Ankole Tea Factory Health Centre II,UPMB_LSD,81995,USAID,DSD,FY2025Q1,157,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,26.0,13.0,17.0,8.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,18.0,12.0,7.0,13.0,5.0,5.0,0.0,3.0,0,0,0,0,0,,,0,0,1,0,,,0,0,39,35,,,0,0,45,37,3519.0,0.04461494743,1,0,0,Kyamuhunga Town Council,Bushenyi,Igara,14853.0,15298.59
Eastern Region,North East,qzSy84YdUkX,Serere District,Bugondo Subcounty,Apapai Health Centre IV,AIC Soroti  Region,87041.0,CDC,U7nanCZTlvQ,qzSy84YdUkX,Serere District,Bugondo Subcounty,Apapai Health Centre IV,AIC_Soroti Region,87041,CDC,DSD,FY2025Q1,515,0.0,0.0,1.0,1.0,10.0,6.0,13.0,15.0,16.0,26.0,54.0,50.0,117.0,,,,0.0,0.0,2.0,0.0,3.0,5.0,3.0,4.0,7.0,14.0,32.0,33.0,103.0,,,,0,0,0,0,0,,,3,1,11,3,,,9,4,118,68,,,0,0,167,130,612.0,0.841503268,0,1,0,Bugondo,Serere,Kasilo,35478.0,36542.340000000004
Western Region,Mid Western,NwDdmtvuy4J,Kiryandongo District,Kigumba Subcounty,Apodorwa Health Centre II,Baylor Hoima Region,81977.0,CDC,V6rtcQS2ETg,NwDdmtvuy4J,Kiryandongo District,Mboira Subcounty,Apodorwa Health Centre II,Baylor_Hoima Region,81977,CDC,DSD,FY2025Q1,139,0.0,0.0,0.0,5.0,1.0,0.0,15.0,21.0,16.0,18.0,13.0,5.0,1.0,4.0,4.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,6.0,6.0,8.0,2.0,7.0,2.0,1.0,0.0,0.0,0,0,0,0,0,,,4,0,9,2,,,2,2,47,11,,,0,0,42,20,859.0,0.1618160652,0,1,0,Kigumba,Kiryandongo,Kibanda,43940.0,45258.200000000004
Eastern Region,Mid Eastern,DE5VuZb0Xei,Pallisa District,Apopong Subcounty,Apopong Health Centre III,Baylor Eastern Region,82001.0,USAID,lzgKn1fgvs4,DE5VuZb0Xei,Pallisa District,Apopong Subcounty,Apopong Health Centre III,Baylor_Eastern Region,82001,USAID,DSD,FY2025Q1,90,0.0,0.0,0.0,0.0,4.0,0.0,2.0,6.0,7.0,12.0,5.0,7.0,8.0,0.0,3.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,3.0,1.0,4.0,7.0,6.0,2.0,4.0,0,0,0,0,0,,,2,2,5,0,,,0,0,1,0,,,2,1,46,31,90.0,1.0,1,0,0,Apopong,Pallisa,Agule,26253.0,27040.59
Eastern Region,North East,fV3WgwSenHR,Soroti District,Arapai Subcounty,Arabaka Health Centre II,AIC Soroti  Region,87041.0,CDC,eNU4So8oJBG,fV3WgwSenHR,Soroti District,Arapai Subcounty,Arabaka Health Centre II,AIC_Soroti Region,87041,CDC,DSD,FY2025Q1,43,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,6.0,7.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,3.0,3.0,1.0,0.0,0.0,2.0,1.0,0.0,0,0,0,0,0,,,0,1,3,0,,,0,1,12,11,,,0,0,12,2,231.0,0.1861471861,0,1,0,Arapai,Soroti,Soroti,40428.0,41640.840000000004
Central Region,Central 2,MGoloBUb8vi,Mityana District,Kakindu Subcounty,Arch Bishop Kiwanuka Mayirye Health Centre III,UEC,81974.0,CDC,CDuzJk8UYJZ,MGoloBUb8vi,Mityana District,Kakindu Subcounty,Arch Bishop Kiwanuka Mayirye Health Centre III,UEC,81974,CDC,DSD,FY2025Q1,161,0.0,0.0,0.0,3.0,2.0,1.0,12.0,21.0,30.0,16.0,5.0,6.0,7.0,3.0,3.0,5.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,4.0,5.0,11.0,8.0,5.0,3.0,3.0,0.0,2.0,0,0,0,0,0,,,5,1,23,10,,,0,2,46,22,,,0,0,40,12,921.0,0.1748099891,0,1,0,Kakindu,Mityana,Busujju,36846.0,37951.38
Eastern Region,North East,kWVEqgcD75e,Katakwi District,Katakwi Town Council,Astu Health Centre IV,AIC Soroti  Region,87041.0,CDC,hPnvAKWODa0,kWVEqgcD75e,Katakwi District,Katakwi Town Council,Astu Health Centre IV,AIC_Soroti Region,87041,CDC,DSD,FY2025Q1,60,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,3.0,11.0,4.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,7.0,4.0,4.0,1.0,2.0,2.0,0,0,0,0,0,,,0,0,7,3,,,0,0,22,25,,,0,0,1,2,2535.0,0.02366863905,0,1,0,Katakwi Town Council,Katakwi,Usuk,7758.0,7990.74
Eastern Region,North East,AY24xwaz8Ml,Soroti District,Asuret Subcounty,Asuret Health Centre III,AIC Soroti  Region,87041.0,CDC,VxKpb25BHqX,AY24xwaz8Ml,Soroti District,Asuret Subcounty,Asuret Health Centre III,AIC_Soroti Region,87041,CDC,DSD,FY2025Q1,238,0.0,0.0,0.0,3.0,4.0,5.0,9.0,16.0,29.0,23.0,22.0,14.0,8.0,4.0,5.0,5.0,0.0,0.0,2.0,4.0,2.0,3.0,4.0,1.0,11.0,14.0,12.0,13.0,11.0,3.0,5.0,6.0,0,0,0,0,0,,,4,6,23,12,,,3,2,67,43,,,0,0,50,28,238.0,1.0,0,1,0,Asuret,Soroti,Soroti,39638.0,40827.14
Eastern Region,Mid Eastern,I3q42sKAJua,Tororo District,Kwapa Subcounty,Atangi Health Centre III,Baylor Eastern Region,82001.0,USAID,a31sV2bp9Bv,I3q42sKAJua,Tororo District,Kwapa Subcounty,Atangi Health Centre III,Baylor_Eastern Region,82001,USAID,DSD,FY2025Q1,118,0.0,0.0,0.0,3.0,1.0,1.0,3.0,7.0,17.0,12.0,7.0,7.0,12.0,6.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,5.0,5.0,7.0,4.0,3.0,2.0,2.0,0,0,0,0,0,,,4,0,15,2,,,0,0,36,17,,,0,0,27,17,299.0,0.3946488294,1,0,0,Kwapa,Tororo,Tororo,20160.0,20764.8
Eastern Region,North East,sUtrRkuRSAm,Serere District,Atiira Subcounty,Atiira Health Centre III,AIC Soroti  Region,87041.0,CDC,AL0yEYT8jII,sUtrRkuRSAm,Serere District,Atiira Subcounty,Atiira Health Centre III,AIC_Soroti Region,87041,CDC,DSD,FY2025Q1,232,0.0,0.0,0.0,0.0,4.0,3.0,2.0,12.0,28.0,27.0,23.0,11.0,19.0,7.0,3.0,3.0,0.0,0.0,0.0,4.0,4.0,5.0,0.0,3.0,12.0,13.0,15.0,16.0,12.0,5.0,0.0,1.0,0,0,0,0,0,,,1,1,10,1,,,2,5,42,21,,,1,2,86,60,232.0,1.0,0,1,0,Atiira,Serere,Serere,20406.0,21018.18
Eastern Region,North East,aOoSM1O7H9D,Kumi District,Atutur Subcounty,Atutur General Hospital,AIC Soroti  Region,87041.0,CDC,uSNmmslNwI6,aOoSM1O7H9D,Kumi District,Atutur Subcounty,Atutur General Hospital,AIC_Soroti Region,87041,CDC,DSD,FY2025Q1,1479,0.0,2.0,3.0,5.0,17.0,31.0,25.0,70.0,63.0,96.0,154.0,128.0,111.0,85.0,68.0,55.0,0.0,0.0,3.0,2.0,15.0,22.0,12.0,21.0,28.0,42.0,86.0,82.0,105.0,75.0,32.0,41.0,0,0,0,0,0,,,15,14,236,109,,,17,9,270,195,,,3,0,372,239,1479.0,1.0,0,1,0,Atutur,Kumi,Kumi,21570.0,22217.100000000002
Western Region,Mid Western,x5YYIG54agu,Buliisa District,Ngwedo Subcounty,Avogera Health Centre III,Baylor Hoima Region,81977.0,CDC,ESuYX75gsNB,x5YYIG54agu,Buliisa District,Ngwedo Subcounty,Avogera Health Centre III,Baylor_Hoima Region,81977,CDC,DSD,FY2025Q1,294,0.0,1.0,1.0,6.0,3.0,2.0,20.0,36.0,37.0,37.0,19.0,18.0,12.0,4.0,1.0,4.0,0.0,0.0,1.0,3.0,8.0,2.0,2.0,8.0,9.0,13.0,22.0,11.0,7.0,2.0,2.0,3.0,0,0,0,0,0,,,6,4,43,11,,,5,8,96,53,,,0,0,51,17,316.0,0.9303797468,0,1,0,Ngwedo,Buliisa,Buliisa,17472.0,17996.16
