KP Tracker ID,Region,Tracker District,KP Tracker Subcounty,KP Tracker Service outlet,KP Tracker Mechanism name,DATIM,DHIS2 ID,DHIS2 District,DHIS2 Subcounty,DHIS2 HF Name,COP  Mechanism name (DAPTS List),COP  Mechanism ID,Agency,Period,Comment,IP Response to column P,PREP _NEW Overall Total,PREP_NEW  Total Female,PREP_NEW  Total Male,"(15 - 19) Years, Female","(15 - 19) Years, Male","20-24 Years, Female","20-24 Years, Male","Female, 25 - 29 years","Male, 25 - 29 years","Female, 30-34 years","Male, 30-34 years","Female, 35-39 years","Male, 35-39 years","Female, 40 - 44 years","Male, 40 - 44 years","Female, 45 - 49 years","Male, 45 - 49 years","50+ Years, Female","50+ Years, Male",Total KP received PReP_NEW,"MSM, Male",Transgender,Sex Workers,PWID,People in prisons and other enclosed settings (Incarcerated Population),Pregnant,Breast feeding,Health Facility,Community,Oral,Injectable,Other including Ring,Ring,Event driven prep,Adolescents and young women (10-24) years,Clients of sex workers,"Displaced persons (e.g., refugees) ",Fishing communities ,"Military and other uniformed services (including police, border guards, and security workers),Female ","Mobile Populations (e.g., migrant workers, truck drivers) ",Non-injecting drug users,Discordant Couples,Others
Teso,Kaberamaido District,Ochero Subcounty,rPMkkecqjqx,Ochero HC III,CoP23 - AIC_Soroti Region,GeYIdYj4uIx,rPMkkecqjqx,Kaberamaido District,Ochero Subcounty,Ochero HC III,AIC_Soroti Region,87041,CDC,Oct-Dec 2024,,,29,17,12,0,0,3,2,6,2,4,2,1,1,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,29,29,0,0,0,0,0,0,0,29,0,0,0,0,0
Teso,Kalaki District,Otuboi Subcounty,qidhLTyAErV,Otuboi HC III,CoP23 - AIC_Soroti Region,yugeat7fhNx,qidhLTyAErV,Kalaki District,Otuboi Town Council,Otuboi HC III,AIC_Soroti Region,87041,CDC,Oct-Dec 2024,,,46,33,13,5,1,12,4,7,4,7,2,1,1,1,1,0,0,0,0,32,0,0,32,0,0,0,0,0,46,42,0,0,0,0,0,13,0,0,0,0,0,0,0
Teso,Serere District,Serere Town Council,DXmJVAw33mJ,Serere HC IV,CoP23 - AIC_Soroti Region,lf8bsfXzuZP,DXmJVAw33mJ,Serere District,Serere Town Council,Serere HC IV,AIC_Soroti Region,87041,CDC,Oct-Dec 2024,,,73,54,19,8,0,15,5,16,4,12,7,3,1,0,2,0,0,0,0,37,0,0,37,0,0,0,0,0,73,73,0,0,0,0,9,4,0,13,0,5,0,1,0
Teso,Soroti City,Northern Division (Soroti MC),p0fJEq6m1ew,TASO Soroti Special Clinic,CoP23 - AIC_Soroti Region,t3KC7IQ5qjS,p0fJEq6m1ew,Soroti City,Soroti East Division,TASO Soroti Special Clinic,AIC_Soroti Region,87041,CDC,Oct-Dec 2024,,,70,42,28,5,3,7,6,9,7,5,2,2,2,6,2,4,1,4,5,17,0,0,17,0,0,1,1,18,52,70,0,0,0,0,6,14,0,1,2,8,0,18,1
Teso,Katakwi District,Toroma Subcounty,Vdrd1FtUOrc,Toroma HC IV,CoP23 - AIC_Soroti Region,zR2Up23OOBo,Vdrd1FtUOrc,Katakwi District,Toroma Subcounty,Toroma HC IV,AIC_Soroti Region,87041,CDC,Oct-Dec 2024,,,2,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0
Teso,Soroti City,Western Division (Soroti MC),abcJcH3EO75,Western Division HC III,CoP23 - AIC_Soroti Region,GEJvZ3depkw,abcJcH3EO75,Soroti City,Soroti West Division,Western Division HC III,AIC_Soroti Region,87041,CDC,Oct-Dec 2024,,,59,41,18,4,0,11,4,13,6,9,4,1,2,2,0,1,1,0,1,34,0,0,34,0,0,0,0,0,59,59,0,0,0,0,7,14,0,0,0,0,0,0,3
North Central,Nakaseke District,Kasangombe Subcounty,YTCehe1KMvF,Bidabuja HC III,CoP23 - Baylor_FortPortal_Mubende Region,jP3ifKWdlvM,YTCehe1KMvF,Nakaseke District,Kasangombe Subcounty,Bidabuja HC III,Baylor_Fort Portal_Mubende Region,87039,CDC,Oct-Dec 2024,,,34,13,21,9,0,1,1,0,8,2,3,0,4,0,1,0,2,1,2,2,0,0,2,0,0,0,0,15,19,31,0,0,0,0,8,6,0,0,0,3,3,10,0
Tooro,Kamwenge District,Bigodi Town Council,d3ugFJbENWb,Bigodi HC III,CoP23 - Baylor_FortPortal_Mubende Region,OfggWBLl8ft,d3ugFJbENWb,Kamwenge District,Bigodi Town Council,Bigodi HC III,Baylor_Fort Portal_Mubende Region,87039,CDC,Oct-Dec 2024,,,121,74,47,13,2,35,15,10,13,1,6,6,2,0,3,5,2,4,4,61,0,0,61,0,0,0,0,0,121,121,0,0,0,0,11,16,3,0,23,1,0,0,1
Tooro,Kamwenge District,Biguli Subcounty,Sg3h27N489f,Biguli HC III,CoP23 - Baylor_FortPortal_Mubende Region,LOHAwPBwgRj,Sg3h27N489f,Kamwenge District,Biguli Town Council,Biguli HC III,Baylor_Fort Portal_Mubende Region,87039,CDC,Oct-Dec 2024,,,58,41,17,5,4,12,3,14,4,3,4,5,0,1,2,0,0,1,0,42,0,0,42,0,0,0,0,0,58,57,0,0,0,0,0,16,0,0,0,0,0,0,0
Tooro,Kamwenge District,Nkoma Subcounty,fmOyV8pzi6m,Bisozi HC IV,CoP23 - Baylor_FortPortal_Mubende Region,RdITZ08bUKY,fmOyV8pzi6m,Kamwenge District,Nkoma Subcounty,Bisozi HC IV,,,,Oct-Dec 2024,Has outputs but not on the DAPTS list,,16,8,8,1,0,1,1,2,1,0,2,1,2,0,1,2,1,1,0,6,0,0,6,0,0,0,0,16,0,16,0,0,0,0,0,3,0,0,0,0,0,5,2
Tooro,Kyenjojo District,Kifuka Town Council,W4WTbuj52ZD,Bufunjo HC III,CoP23 - Baylor_FortPortal_Mubende Region,p6uOnNcW9sP,W4WTbuj52ZD,Kyenjojo District,Kifuka Town Council,Bufunjo HC III,Baylor_Fort Portal_Mubende Region,87039,CDC,Oct-Dec 2024,,,41,34,7,5,0,17,1,9,3,1,1,2,2,0,0,0,0,0,0,31,0,0,31,0,0,0,0,0,41,41,0,0,0,0,2,2,0,0,0,0,0,1,0
Tooro,Kasese District,Bugoye Subcounty,aKmOqqxiDuQ,Bugoye HC III,CoP23 - Baylor_FortPortal_Mubende Region,yN0TfFZlcUi,aKmOqqxiDuQ,Kasese District,Bugoye Subcounty,Bugoye HC III,Baylor_Fort Portal_Mubende Region,87039,CDC,Oct-Dec 2024,,,175,118,57,24,2,35,7,28,9,15,9,5,12,5,3,3,3,3,12,117,0,0,117,0,0,0,0,0,175,173,0,0,0,0,2,56,0,0,0,0,0,0,0
North Central,Kiboga District,Bukomero Town Council,aVPeLDNBucL,Bukomero HC IV,CoP23 - Baylor_FortPortal_Mubende Region,esQDdwuQ3nW,aVPeLDNBucL,Kiboga District,Bukomero Town Council,Bukomero HC IV,Baylor_Fort Portal_Mubende Region,87039,CDC,Oct-Dec 2024,,,73,54,19,0,0,10,2,11,5,16,4,10,3,6,3,1,2,0,0,53,0,0,53,0,0,0,0,6,67,71,0,0,0,0,0,17,0,0,0,0,0,3,0
Tooro,Fort Portal City,Northern Division,n8cJGH7q4QK,Bukuku HC IV,CoP23 - Baylor_FortPortal_Mubende Region,RMrL9IbXZiw,n8cJGH7q4QK,Fort Portal City,Fort Portal North Division,Bukuku HC IV,Baylor_Fort Portal_Mubende Region,87039,CDC,Oct-Dec 2024,,,197,123,74,11,4,40,17,44,21,14,8,11,13,2,10,1,0,0,1,140,0,0,136,4,0,0,0,0,197,196,0,0,0,0,0,56,0,0,1,0,0,0,0
Tooro,Kitagwenda District,Mahyoro Subcounty,PgnmZSSRbeL,Bukurungu HC II,CoP23 - Baylor_FortPortal_Mubende Region,bWw7ldnLxN1,PgnmZSSRbeL,Kitagwenda District,Bukurungo Town Council,Bukurungu HC II,Baylor_Fort Portal_Mubende Region,87039,CDC,Oct-Dec 2024,,,124,34,90,2,5,6,16,6,17,3,14,5,7,5,10,2,6,5,15,10,0,0,10,0,0,0,0,0,124,124,0,0,0,0,0,42,0,63,1,1,0,0,7
North Central,Kassanda District,Bukuya Subcounty,CiNybZErM6Q,Bukuya HC III,CoP23 - Baylor_FortPortal_Mubende Region,F63kZ7510WO,CiNybZErM6Q,Kassanda District,Bukuya Town Council,Bukuya HC IV,Baylor_Fort Portal_Mubende Region,87039,CDC,Oct-Dec 2024,,,104,60,44,18,5,23,11,11,14,4,8,3,2,1,3,0,0,0,1,49,0,0,49,0,0,0,0,24,79,102,0,0,0,0,0,32,0,0,2,5,1,8,3
North Central,Mityana District,Bulera Subcounty,archepWw0ZZ,Bulera HC III,CoP23 - Baylor_FortPortal_Mubende Region,jae7UhaWi3E,archepWw0ZZ,Mityana District,Bulera Subcounty,Bulera HC III,Baylor_Fort Portal_Mubende Region,87039,CDC,Oct-Dec 2024,,,105,49,56,7,8,15,16,17,13,3,7,5,4,0,1,0,2,2,5,47,0,0,47,0,0,0,0,67,76,105,0,0,0,0,2,56,0,0,0,0,0,0,0
Tooro,Bundibugyo District,Bundibugyo Town Council,VkNdAzkYGjh,Bundibugyo Hospital,CoP23 - Baylor_FortPortal_Mubende Region,ze0kMPwQ0L2,VkNdAzkYGjh,Bundibugyo District,Bundibugyo Town Council,Bundibugyo Hospital,Baylor_Fort Portal_Mubende Region,87039,CDC,Oct-Dec 2024,,,68,39,29,3,0,13,6,16,6,5,7,1,8,0,0,0,2,1,0,27,0,0,27,0,0,0,0,0,68,67,0,1,0,0,13,10,0,0,0,2,0,0,0
Tooro,Kamwenge District,Busiriba Subcounty,oa2Jc3fTgtD,Bunoga HC III,CoP23 - Baylor_FortPortal_Mubende Region,vF1ktWheL1E,oa2Jc3fTgtD,Kamwenge District,Busiriba Subcounty,Bunoga HC III,Baylor_Fort Portal_Mubende Region,87039,CDC,Oct-Dec 2024,,,142,77,65,13,8,9,11,14,9,13,11,11,3,7,11,5,4,5,8,70,0,0,68,2,0,1,1,0,142,139,0,0,0,0,3,50,2,0,0,1,0,6,0
North Central,Kyankwanzi District,Butemba Town Council,JHtjwrjBlm4,Butemba HC III,CoP23 - Baylor_FortPortal_Mubende Region,R2Cdrrj3ifu,JHtjwrjBlm4,Kyankwanzi District,Butemba Town Council,Butemba HC III,Baylor_Fort Portal_Mubende Region,87039,CDC,Oct-Dec 2024,,,55,35,20,9,1,14,2,7,6,1,2,4,5,0,3,0,1,0,0,12,0,0,12,0,0,0,0,26,29,55,0,0,0,0,0,17,0,0,0,0,0,3,0
Tooro,Kyenjojo District,Butiiti Town Council,XRMXI2fhgoK,Butiiti HC III,CoP23 - Baylor_FortPortal_Mubende Region,WdYtSJZSKlc,XRMXI2fhgoK,Kyenjojo District,Butiiti Town Council,Butiiti HC III,Baylor_Fort Portal_Mubende Region,87039,CDC,Oct-Dec 2024,,,147,110,37,24,4,41,8,26,10,12,9,5,2,1,3,1,1,0,0,80,0,0,80,0,0,0,0,0,147,147,0,0,0,0,35,28,0,1,0,2,0,1,0
Tooro,Kyenjojo District,Butunduuzi Town Council,sLg8XDLt89n,Butunduzi HC III,CoP23 - Baylor_FortPortal_Mubende Region,Yd8Gw88GkRG,sLg8XDLt89n,Kyenjojo District,Butunduzi Town Council,Butunduzi HC III,Baylor_Fort Portal_Mubende Region,87039,CDC,Oct-Dec 2024,,,82,73,9,17,0,27,1,15,5,11,2,3,1,0,0,0,0,0,0,62,0,0,62,0,0,0,0,0,82,82,0,0,0,0,10,9,0,0,0,0,0,0,0
Tooro,Kasese District,Lubiriha Town Council,HLeMhK9q6Wm,Bwera Hospital,CoP23 - Baylor_FortPortal_Mubende Region,XwCPN2Vpvn7,HLeMhK9q6Wm,Kasese District,Mpondwe-Lhubiriha Town Council,Bwera Hospital,Baylor_Fort Portal_Mubende Region,87039,CDC,Oct-Dec 2024,,,223,92,131,12,7,17,23,17,36,18,24,16,18,4,11,3,5,5,7,96,1,0,95,0,0,0,0,27,195,223,0,0,0,0,0,110,0,0,2,0,1,7,0
Tooro,Kamwenge District,Bwizi Subcounty,a3HP4aNtOMO,Bwizi HC III,CoP23 - Baylor_FortPortal_Mubende Region,LJMe8tULLrM,a3HP4aNtOMO,Kamwenge District,Bwizi Subcounty,Bwizi HC III,,,,Oct-Dec 2024,Has outputs but not on the DAPTS list,,12,4,8,0,0,1,1,3,2,0,2,0,3,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,12,12,0,0,0,0,0,8,0,0,0,0,0,0,0
Tooro,Kasese District,Lake Katwe Subcounty,bhJFKwRg9fE,Hamukungu HC II,CoP23 - Baylor_FortPortal_Mubende Region,M2W2iBPKDzy,bhJFKwRg9fE,Kasese District,Lakekatwe Subcounty,Hamukungu HC II,Baylor_Fort Portal_Mubende Region,87039,CDC,Oct-Dec 2024,,,29,27,2,4,0,7,0,6,1,3,0,4,0,2,1,1,0,0,0,27,0,0,27,0,0,0,0,0,29,29,0,0,0,0,0,2,0,0,0,0,0,0,0
Tooro,Kyegegwa District,Hapuuyo Subcounty,a1H4RSyoXOj,Hapuuyo HC III,CoP23 - Baylor_FortPortal_Mubende Region,qx36zCD4cWj,a1H4RSyoXOj,Kyegegwa District,Hapuuyo Town Council,Hapuuyo HC III,Baylor_Fort Portal_Mubende Region,87039,CDC,Oct-Dec 2024,,,55,25,30,3,0,10,6,6,9,4,5,1,4,1,4,0,1,0,1,49,0,0,49,0,0,0,0,0,55,55,0,0,0,0,0,5,0,0,0,0,0,1,0
Tooro,Kasese District,Hima Town Council,D76MlGzidHn,Hima HC III,CoP23 - Baylor_FortPortal_Mubende Region,O9PVKxuTq3j,D76MlGzidHn,Kasese District,Hima Town Council,Hima HC III,Baylor_Fort Portal_Mubende Region,87039,CDC,Oct-Dec 2024,,,339,260,79,38,6,112,16,60,18,20,11,13,11,11,5,1,4,5,8,249,0,0,249,0,0,0,0,15,318,337,0,0,0,0,2,55,1,12,0,0,0,12,0
Tooro,Kasese District,Kyabarungira Subcounty,sVrJn8E1ypr,Kabatunda HC III,CoP23 - Baylor_FortPortal_Mubende Region,h3fvxT1Bh1D,sVrJn8E1ypr,Kasese District,Kabatunda Kirabaho Town Council,Kabatunda HC III,,,,Oct-Dec 2024,Has outputs but not on the DAPTS list,,74,30,44,5,3,11,11,6,9,3,8,3,5,1,5,1,1,0,2,24,0,0,24,0,0,0,0,1,73,74,0,0,0,0,0,47,0,0,0,3,0,0,0
Tooro,Bunyangabu District,Kabonero Subcounty,QhjzIx0abeY,Kabonero HC III,CoP23 - Baylor_FortPortal_Mubende Region,rhA8ZTFJMbf,QhjzIx0abeY,Bunyangabu District,Kabonero Subcounty,Kabonero HC III,Baylor_Fort Portal_Mubende Region,87039,CDC,Oct-Dec 2024,,,14,8,6,1,1,2,1,4,3,0,1,1,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,13,14,0,0,0,0,5,1,0,0,0,0,0,0,0
North Central,Mityana District,Ttamu Division,SCCtg0ytcin,Kabule HC III,CoP23 - Baylor_FortPortal_Mubende Region,twDd4DWixDP,SCCtg0ytcin,Mityana District,Ttamu Division,Kabule HC III,Baylor_Fort Portal_Mubende Region,87039,CDC,Oct-Dec 2024,,,30,17,13,2,1,3,3,7,2,2,2,2,4,1,1,0,0,0,0,16,0,0,16,0,0,0,0,13,17,30,0,0,0,0,0,12,0,0,0,0,0,2,0
Tooro,Fort Portal City,Central Division,JOGgj0LGTiW,Kagote HC III,CoP23 - Baylor_FortPortal_Mubende Region,rJAdZp18Y7U,JOGgj0LGTiW,Fort Portal City,Fort Portal Central Division,Kagote HC III,Baylor_Fort Portal_Mubende Region,87039,CDC,Oct-Dec 2024,,,163,103,60,13,6,30,10,29,20,20,11,9,9,2,4,0,0,0,0,135,26,1,104,4,0,0,0,0,161,163,0,0,0,0,0,26,0,0,0,0,0,0,0
Tooro,Kyegegwa District,Kakabara Subcounty,SbeNQXeGDyJ,Kakabara HC III,CoP23 - Baylor_FortPortal_Mubende Region,KNRlz8oNVVP,SbeNQXeGDyJ,Kyegegwa District,Kakabara Town Council,Kakabara HC III,Baylor_Fort Portal_Mubende Region,87039,CDC,Oct-Dec 2024,,,95,40,55,7,3,24,7,7,22,0,10,2,6,0,6,0,0,0,1,41,0,0,41,0,0,0,0,1,94,92,0,0,0,0,0,54,0,0,0,0,0,0,0
North Central,Mubende District,Kalonga Subcounty,YaUCgS8WMMW,Kalonga HC III,CoP23 - Baylor_FortPortal_Mubende Region,uzKw3xxlTqr,YaUCgS8WMMW,Mubende District,Kalonga Subcounty,Kalonga HC III,Baylor_Fort Portal_Mubende Region,87039,CDC,Oct-Dec 2024,,,127,68,59,3,2,14,15,30,17,13,10,2,3,3,7,1,2,2,3,75,0,0,75,0,0,0,0,56,71,0,0,0,0,0,0,52,0,0,0,0,0,0,0
North Central,Kiboga District,Nkandwa Subcounty,CMNFahpvV4I,Kambugu HC III,CoP23 - Baylor_FortPortal_Mubende Region,sSwA56Jbv90,CMNFahpvV4I,Kiboga District,Nkandwa Subcounty,Kambugu HC III,Baylor_Fort Portal_Mubende Region,87039,CDC,Oct-Dec 2024,,,55,55,0,25,0,26,0,4,0,0,0,0,0,0,0,0,0,0,0,37,0,0,37,0,0,0,0,1,54,55,0,0,0,0,2,1,0,0,0,0,0,0,0
Tooro,Kamwenge District,Kamwenge Town Council,ACckadqFYV7,Kamwenge HC III,CoP23 - Baylor_FortPortal_Mubende Region,Dvqcqo6WK9y,ACckadqFYV7,Kamwenge District,Kamwenge Town Council,Kamwenge HC III,Baylor_Fort Portal_Mubende Region,87039,CDC,Oct-Dec 2024,,,148,69,79,15,14,32,31,13,15,7,8,2,7,0,4,0,0,0,0,59,2,0,57,0,0,0,0,5,143,147,0,0,0,0,11,12,0,0,3,16,0,0,0
North Central,Nakaseke District,Kapeeka Subcounty,jloriHnudvr,Kapeeka HC III,CoP23 - Baylor_FortPortal_Mubende Region,VTHsyCzWAhl,jloriHnudvr,Nakaseke District,Kapeeka Subcounty,Kapeeka HC III,Baylor_Fort Portal_Mubende Region,87039,CDC,Oct-Dec 2024,,,185,82,103,24,9,18,23,20,25,11,18,4,10,3,5,1,6,1,7,43,0,0,43,0,0,0,0,132,53,182,0,0,0,0,34,50,0,0,9,8,0,2,0
Tooro,Fort Portal City,Northern Division,aOKbOOqOG6Y,Karambi (Kabarole) HC III,CoP23 - Baylor_FortPortal_Mubende Region,yKtlID3vX8s,aOKbOOqOG6Y,Fort Portal City,Fort Portal North Division,Karambi (Kabarole) HC III,Baylor_Fort Portal_Mubende Region,87039,CDC,Oct-Dec 2024,,,34,26,8,5,0,9,1,7,4,4,2,1,1,0,0,0,0,0,0,31,0,0,27,4,0,0,0,0,34,34,0,0,0,0,0,3,0,0,0,0,0,0,0
Tooro,Kasese District,Karambi Bukonzo Subcounty,a8xSlfCfK8l,Karambi (Kasese) HC III,CoP23 - Baylor_FortPortal_Mubende Region,k7Isb0leZcN,a8xSlfCfK8l,Kasese District,Karambi Subcounty,Karambi (Kasese) HC III,,,,Oct-Dec 2024,Has outputs but not on the DAPTS list,,47,14,33,3,2,3,10,1,4,2,5,3,0,2,3,0,4,0,5,16,0,0,16,0,0,0,0,0,47,46,0,0,0,0,0,31,0,0,0,0,0,0,0
Tooro,Ntoroko District,Karugutu Town Council,A6P3WOAXDru,Karugutu HC IV,CoP23 - Baylor_FortPortal_Mubende Region,i0IpKLx3MjC,A6P3WOAXDru,Ntoroko District,Karugutu Town Council,Karugutu HC IV,Baylor_Fort Portal_Mubende Region,87039,CDC,Oct-Dec 2024,,,54,41,13,10,2,19,5,3,1,5,1,2,0,1,1,1,2,0,1,0,0,0,0,0,0,2,2,0,54,51,0,0,0,0,13,0,0,0,0,0,0,0,32
Tooro,Kasese District,Karusandara Subcounty,XOOHZdLmPvN,Karusandara HC III,CoP23 - Baylor_FortPortal_Mubende Region,tRjzxo8MsWU,XOOHZdLmPvN,Kasese District,Karusandara Subcounty,Karusandara HC III,Baylor_Fort Portal_Mubende Region,87039,CDC,Oct-Dec 2024,,,64,48,16,4,0,10,6,17,4,9,3,8,1,0,2,0,0,0,0,49,0,0,49,0,0,0,0,0,65,65,0,0,0,0,0,16,0,0,0,0,0,0,0
Tooro,Kyegegwa District,Ruyonza Subcounty,aIMGuhKI9Kc,Karwenyi HC III,CoP23 - Baylor_FortPortal_Mubende Region,L0gBY7kfAic,aIMGuhKI9Kc,Kyegegwa District,Ruyonza Subcounty,Karwenyi HC III,Baylor_Fort Portal_Mubende Region,87039,CDC,Oct-Dec 2024,,,30,17,13,1,0,7,4,3,4,5,2,1,2,0,1,0,0,0,0,18,0,0,18,0,0,0,0,0,30,30,0,0,0,0,0,12,0,0,0,0,0,0,0
Tooro,Kabarole District,Kasenda Subcounty,t2B8bbXaxBm,Kasenda HC III,CoP23 - Baylor_FortPortal_Mubende Region,gCVKqrnYAsB,t2B8bbXaxBm,Kabarole District,Kasenda Subcounty,Kasenda HC III,Baylor_Fort Portal_Mubende Region,87039,CDC,Oct-Dec 2024,,,35,15,20,1,2,5,4,1,3,6,5,1,1,1,5,0,0,0,0,24,8,3,13,0,0,0,0,0,35,35,0,0,0,0,1,5,0,0,0,5,0,0,0
Tooro,Kasese District,Lake Katwe Subcounty,V3oWlkpBLx1,Kasenyi HC II,CoP23 - Baylor_FortPortal_Mubende Region,JyDCLvkOoa5,V3oWlkpBLx1,Kasese District,Lakekatwe Subcounty,Kasenyi HC II,Baylor_Fort Portal_Mubende Region,87039,CDC,Oct-Dec 2024,,,97,64,33,18,6,23,7,12,11,7,3,3,3,1,1,0,2,0,0,5,0,0,5,0,0,14,14,0,97,97,0,0,0,0,1,2,0,70,0,0,0,1,0
