Statistical Region,KP Tracker ID,KP Tracker District ,KP Tracker Subcounty,KP Tracker Service outlet,KP Tracker Mechanism name,KP Tracker US Agency,DATIM ID,DHIS2 ID,DHIS2 District,DHIS2 Subcounty,DHIS2 HF Name,COP  Mechanism name ,IM ID,Agency,Period,Comment,IP Comment for action to be taken,PREP _CT Overall Total,PrEP_CT  Total Female,PrEP_CT  Total Male,"(15 - 19) Years, Female","(15 - 19) Years, Male","20-24 Years, Female","20-24 Years, Male","Female, 25 - 29 years","Male, 25 - 29 years","Female, 30-34 years","Male, 30-34 years","Female, 35-39 years","Male, 35-39 years","Female, 40 - 44 years","Male, 40 - 44 years","Female, 45 - 49 years","Male, 45 - 49 years","50+ Years, Female","50+ Years, Male",Total,Positive Total,Negative Total,Other,"(15 - 19) Years, Female","(15 - 19) Years, Male","20-24 Years, Female","20-24 Years, Male","Female, 25 - 29 years","Male, 25 - 29 years","Female, 30-34 years","Male, 30-34 years","Female, 35-39 years","Male, 35-39 years","Female, 40 - 44 years","Male, 40 - 44 years","Female, 45 - 49 years","Male, 45 - 49 years","50+ Years, Female","50+ Years, Male","(15 - 19) Years, Female","(15 - 19) Years, Male","20-24 Years, Female","20-24 Years, Male","Female, 25 - 29 years","Male, 25 - 29 years","Female, 30-34 years","Male, 30-34 years","Female, 35-39 years","Male, 35-39 years","Female, 40 - 44 years","Male, 40 - 44 years","Female, 45 - 49 years","Male, 45 - 49 years","50+ Years, Female","50+ Years, Male","(15 - 19) Years, Female","(15 - 19) Years, Male","20-24 Years, Female","20-24 Years, Male","Female, 25 - 29 years","Male, 25 - 29 years","Female, 30-34 years","Male, 30-34 years","Female, 35-39 years","Male, 35-39 years","Female, 40 - 44 years","Male, 40 - 44 years","Female, 45 - 49 years","Male, 45 - 49 years","50+ Years, Female","50+ Years, Male",Total KP received PrEP_CT,"MSM, Male",Sub-total Transgender,"Sex Workers, Female",PWID,People in prisons and other enclosed settings (Incarcerated Population),Pregnant,Breast feeding,Health Facility,Community,Oral,Injectable,Other including Ring,Ring,EDV PREP,Adolescents and young women (10-24) years,Clients of sex workers,"Displaced persons (e.g., refugees) ",Fishing communities ,"Military and other uniformed services (including police, border guards, and security workers),Female ","Mobile Populations (e.g., migrant workers, truck drivers) ",Truck drivers,Non-injecting drug users,Discordant Couples,Other
North Central,a7fC0KrYZzK,Kayunga District,Kitimbwa Town Council,Wabwoko HC III,WALTER REED_MUWRP,,BnG4rEQWtm7,a7fC0KrYZzK,Kayunga District,Kitimbwa Town Council,Wabwoko HC III,WALTER REED_MUWRP,160699,DOD,Oct-Dec 2024,,,148,100,48,5,1,28,8,32,7,16,4,12,7,3,10,2,7,2,4,148,0,1,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,28,8,32,7,16,4,12,7,3,10,2,7,2,3,159,0,0,159,0,0,9,2,38,205,148,0,0,0,19,6,54,0,0,4,3,0,0,6,0
Busoga,a8Qm23qwGwy,Iganga District,Namungalwe Town Council,Namungalwe HC III,MJAP_East Central Region,,KIdUUpSJe9y,a8Qm23qwGwy,Iganga District,Namungalwe Town Council,Namungalwe HC III,MJAP_East Central Region,82000,USAID,Oct-Dec 2024,,,162,133,29,17,2,50,10,35,5,16,4,5,,6,2,1,1,3,5,162,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2,50,10,35,5,16,4,5,0,6,2,1,1,3,5,139,0,0,139,0,0,26,7,164,77,163,0,0,0,0,5,7,0,0,0,43,0,0,3,8
South Central,A8vURIvnH87,Lyantonde District,Mpumudde Subcounty,Mpumudde HC III,IDI_Masaka Wakiso Region,,OfrWwgzWCNw,A8vURIvnH87,Lyantonde District,Mpumudde Subcounty,Mpumudde HC III,IDI_Masaka_Wakiso Region,87029,CDC,Oct-Dec 2024,,,79,62,17,8,,17,,24,1,9,1,4,6,,6,,2,,1,79,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,17,0,24,1,9,1,4,6,0,6,0,2,0,1,17,0,0,17,0,0,0,0,1,95,77,0,0,0,8,31,0,0,4,0,40,0,0,4,0
Bugisu,a929G14p47c,Mbale City,Northern Division,TASO Mbale Special Clinic,UPMB_LSD,,T0jQfERbuGq,a929G14p47c,Mbale City,Northern Division,TASO Mbale Special Clinic,UPMB_LSD,81995,USAID,Oct-Dec 2024,,,180,75,105,7,6,31,20,10,20,9,22,8,13,9,11,1,5,,8,180,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,31,20,10,20,9,22,8,13,9,11,1,5,0,8,109,7,0,90,12,0,0,4,6,419,179,0,0,0,0,131,32,0,0,8,48,33,27,1,19
Bukedi,aAAa6d3Ohyf,Busia District,Western Division,Nabulola HC III,UPMB_LSD,,MkJqmuT8190,aAAa6d3Ohyf,Busia District,Western Division,Nabulola HC III,UPMB_LSD,81995,USAID,Oct-Dec 2024,,,565,312,253,15,12,56,30,106,71,81,50,37,42,13,16,2,22,2,10,565,0,288,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,25,15,60,37,33,30,17,25,6,6,1,14,1,6,8,7,31,15,46,34,48,20,20,17,7,10,1,8,1,4,163,5,1,139,18,0,0,0,0,694,561,0,0,0,0,73,103,0,51,10,39,41,34,0,16
South Central,aaNmTnGylMb,Kalangala District,Mugoye Subcounty,St. Elizabeth Bumangi HC III,UEC,,aoeQJE1af7Q,aaNmTnGylMb,Kalangala District,Mugoye Subcounty,St. Elizabeth Bumangi Health Centre III,UEC,81974,CDC,Oct-Dec 2024,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,5,7,0,0,0,0,0,2,0,0,7,0,0,0,0,0,0
Busoga,AB05Zdfd4KF,Namayingo District,Sigulu Island Subcounty,Sigulu HC III,MJAP_East Central Region,,kXP9RFGdcYn,AB05Zdfd4KF,Namayingo District,Sigulu Island Subcounty,Sigulu HC III,MJAP_East Central Region,82000,USAID,Oct-Dec 2024,,,35,21,14,4,3,5,6,7,1,4,3,1,,,1,,,,,35,0,24,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,6,4,1,1,2,0,0,0,0,0,0,0,0,1,0,1,0,3,0,3,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,12,30,21,0,0,0,0,0,0,0,21,0,4,0,0,0,0
Lango,aB4YnvwOvMk,Oyam District,Loro Town Council,Loro HC III,JCRC_Kigezi Lango Region,,TwvPTs4hd5u,aB4YnvwOvMk,Oyam District,Loro Town Council,Loro HC III,JCRC_Kigezi Lango Region,81997,USAID,Oct-Dec 2024,,,118,63,55,10,12,22,21,15,12,10,6,2,3,3,,1,,,1,118,0,28,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,8,2,3,1,2,2,1,1,0,0,0,0,0,9,9,18,13,13,9,9,4,0,2,2,0,1,0,0,1,49,0,0,49,0,0,0,0,113,16,118,0,0,0,1,0,44,0,0,1,3,1,0,1,27
North Central,aB8VPjofx5K,Mukono District,Koome island Subcounty,Kansambwe HC II,WALTER REED_MUWRP,,f1L3m5AXOXZ,aB8VPjofx5K,Mukono District,Koome island Subcounty,Kansambwe HC II,WALTER REED_MUWRP,160699,DOD,Oct-Dec 2024,,,16,7,9,3,,,3,,1,2,4,2,,,1,,,,,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,1,2,4,2,0,0,1,0,0,0,0,21,0,0,21,0,0,0,0,17,19,16,0,0,0,0,1,5,0,9,0,0,0,0,0,0
Teso,abcJcH3EO75,Soroti City,Soroti West Division,Western Division HC III,AIC_Soroti Region,,GEJvZ3depkw,abcJcH3EO75,Soroti City,Soroti West Division,Western Division HC III,AIC_Soroti Region,87041,CDC,Oct-Dec 2024,,,1,0,1,,,,,,,,,,,,,,,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,16,0,0,0,0,0,21,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0
Kigezi,abHQOTY0rmo,Rukungiri District,Buyanja Town Council,Buyanja HC III,JCRC_Kigezi Lango Region,,wxpam0Qca30,abHQOTY0rmo,Rukungiri District,Buyanja Town Council,Buyanja HC III,JCRC_Kigezi Lango Region,81997,USAID,Oct-Dec 2024,,,105,65,40,11,6,23,7,18,7,6,9,4,5,2,2,,2,1,2,105,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,23,7,18,7,6,9,4,5,2,2,0,2,1,2,49,0,0,49,0,0,0,0,85,23,105,0,0,0,0,1,39,0,0,0,0,0,0,0,6
Tooro,ACckadqFYV7,Kamwenge District,Kamwenge Town Council,Kamwenge HC III,Baylor Fort Portal_Mubende Region,,Dvqcqo6WK9y,ACckadqFYV7,Kamwenge District,Kamwenge Town Council,Kamwenge HC III,Baylor_Fort Portal_Mubende Region,87039,CDC,Oct-Dec 2024,,,236,167,69,42,7,56,15,42,21,14,14,8,9,5,3,,,,,236,0,13,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,2,2,2,1,1,0,0,0,0,0,0,0,0,40,7,53,13,40,19,13,13,8,9,5,3,0,0,0,0,100,0,0,100,0,0,0,1,3,284,235,0,0,0,44,81,10,0,0,0,53,2,0,7,1
North Central,achC82olIo9,Buikwe District,Lugazi Central Division,Lugazi Scoul Hospital,WALTER REED_MUWRP,,K3jBKYvX6RK,achC82olIo9,Buikwe District,Lugazi Central Division,Lugazi Scoul Hospital,WALTER REED_MUWRP,160699,DOD,Oct-Dec 2024,,,389,251,138,10,,32,12,54,35,80,30,39,26,27,20,6,12,3,3,389,0,0,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,32,12,54,35,80,30,39,26,27,20,6,12,3,3,177,0,0,177,0,0,0,0,377,165,389,0,0,0,10,0,1,0,0,17,114,7,0,223,1
North Central,acJji9Ruj5T,Kiboga District,Kiboga Town Council,Kiboga Hospital,Baylor Fort Portal_Mubende Region,,iyyiFSKhaMV,acJji9Ruj5T,Kiboga District,Kiboga Town Council,Kiboga Hospital,Baylor_Fort Portal_Mubende Region,87039,CDC,Oct-Dec 2024,,,160,137,23,46,3,66,8,15,4,3,3,6,1,1,1,,2,,1,160,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,3,66,8,15,4,3,3,6,1,1,1,0,2,0,1,79,0,0,78,0,1,0,0,59,124,158,0,0,0,0,61,21,0,0,0,0,0,0,19,3
Ankole,acuu3ktUO4t,Ntungamo District,Rubaare Town Council,Rubare HC IV,TASO_Ankole Acholi Region,,QLEU3ViljEU,acuu3ktUO4t,Ntungamo District,Rubaare Town Council,Rubare HC IV,TASO_Ankole Acholi Region,81998,USAID,Oct-Dec 2024,,,284,216,68,60,4,85,18,43,17,16,8,9,11,3,4,,1,,5,284,0,66,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,17,3,8,6,4,3,1,4,0,2,0,0,0,0,44,2,68,15,35,11,12,5,8,7,3,2,0,1,0,5,277,2,0,275,0,0,0,0,11,382,282,0,0,0,30,0,69,0,0,3,0,13,0,29,1
South Central,ADhJXGIcCND,Kalangala District,Bubeke Subcounty,Bubeke HC III,IDI_Masaka Wakiso Region,,SWajMebjDZf,ADhJXGIcCND,Kalangala District,Bubeke Subcounty,Bubeke HC III,IDI_Masaka_Wakiso Region,87029,CDC,Oct-Dec 2024,,,60,29,31,3,2,5,7,11,4,4,11,1,3,1,3,1,1,3,,60,0,2,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,2,5,7,11,4,4,11,1,3,1,3,0,1,2,0,4,0,0,4,0,0,0,0,0,75,58,0,0,0,0,1,4,0,66,0,0,0,0,0,0
North Central,adofLhuj4HH,Luwero District,Luweero Town Council,Bishop Ascili Hospital,WALTER REED_MUWRP,,UF1nBnTp9Dw,adofLhuj4HH,Luwero District,Luweero Town Council,Bishop Ascili Hospital,WALTER REED_MUWRP,160699,DOD,Oct-Dec 2024,,,1,0,1,,,,,,,,1,,,,,,,,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Acholi,aE0Yzd3YZQ9,Gulu City,Laroo Pece Division,Aywee HC III,TASO_Ankole Acholi Region,,G04kjfAxSbw,aE0Yzd3YZQ9,Gulu City,Laroo Pece Division,Aywee HC III,TASO_Ankole Acholi Region,81998,USAID,Oct-Dec 2024,,,332,213,119,44,25,75,20,34,11,26,18,15,12,7,8,2,6,10,19,332,0,216,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,8,48,7,29,5,20,9,12,8,6,6,2,2,8,19,17,17,27,13,5,6,6,9,3,4,1,2,0,4,2,0,144,0,0,142,2,0,0,0,0,336,331,0,0,0,0,4,7,0,0,0,12,0,97,0,9
Tooro,AEHNScf4j7E,Bunyangabu District,Rwiimi Town Council,Rwimi Prison HC III,UPS,,foxKjZx7N4i,AEHNScf4j7E,Bunyangabu District,Rwiimi Town Council,Rwimi Prisons Health Centre III,,,,Oct-Dec 2024,Site has outputs but not on DAPTS list,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Busoga,aElqyBOYxsd,Iganga District,Central Division,Iganga Islamic Medical Centre HC III,UPMB_LSD,,YwY8Pc0mgez,aElqyBOYxsd,Iganga District,Central Division,Iganga Islamic Medical Centre HC III,UPMB_LSD,81995,USAID,Oct-Dec 2024,,,479,336,143,38,9,121,23,95,44,46,31,17,17,12,8,3,7,4,4,479,0,300,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,9,62,23,44,35,31,27,9,11,6,8,2,4,2,4,15,0,59,0,51,9,15,4,8,6,6,0,1,3,2,0,181,2,0,179,0,0,0,0,13,489,474,0,1,1,0,3,34,0,1,3,32,36,3,1,36
Lango,aes9vvQi4Df,Oyam District,Loro Subcounty,Agulurude HC III,JCRC_Kigezi Lango Region,,gHXMAd7Brzr,aes9vvQi4Df,Oyam District,Loro Subcounty,Agulurude HC III,JCRC_Kigezi Lango Region,81997,USAID,Oct-Dec 2024,,,220,163,57,11,,52,8,45,17,28,9,12,4,2,9,7,6,6,4,220,0,32,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5,2,3,3,3,0,0,3,1,2,2,3,11,0,48,7,40,15,25,6,9,4,2,6,6,4,4,1,81,0,0,81,0,0,0,0,231,12,219,0,0,0,0,2,40,0,0,3,2,5,0,1,108
South Central,aeWNPmn3Zrf,Kalangala District,Mugoye Subcounty,Mugoye HC III,IDI_Masaka Wakiso Region,,N33Zbwcd9Gf,aeWNPmn3Zrf,Kalangala District,Mugoye Subcounty,Mugoye HC III,IDI_Masaka_Wakiso Region,87029,CDC,Oct-Dec 2024,,,88,33,55,2,2,7,6,7,12,4,11,5,7,4,6,1,3,3,8,88,0,9,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,1,0,0,1,1,1,0,2,1,7,6,4,12,4,10,5,6,4,6,0,2,2,8,54,0,0,54,0,0,5,0,19,244,88,0,0,0,4,8,15,0,162,0,4,0,0,8,2
South Central,aFlGqyWRQfr,Wakiso District,Kyengera Town Council,Nsangi HC III,IDI_Masaka Wakiso Region,,v5hLOfeBBg8,aFlGqyWRQfr,Wakiso District,Kyengera Town Council,Nsangi HC III,IDI_Masaka_Wakiso Region,87029,CDC,Oct-Dec 2024,,,1933,1453,480,73,10,430,44,467,103,340,95,94,165,27,53,20,7,2,3,1933,0,17,1916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,1,4,1,1,0,0,2,0,1,0,0,0,0,71,10,425,43,463,102,339,95,94,163,27,52,20,7,2,3,1030,14,3,1012,1,0,10,4,831,1198,1923,0,0,0,40,391,412,0,24,2,8,1,0,58,61
North Central,aFuRtjSdg4X,Mityana District,Sskanyonyi Town Council,Ssekanyonyi HC IV,Baylor Fort Portal_Mubende Region,,bspUBZIvGOB,aFuRtjSdg4X,Mityana District,Sskanyonyi Town Council,Ssekanyonyi HC IV,Baylor_Fort Portal_Mubende Region,87039,CDC,Oct-Dec 2024,,,146,62,84,9,6,14,15,13,15,14,19,7,16,3,5,,4,2,4,146,0,70,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,7,9,3,5,7,9,2,6,2,2,0,3,2,2,4,0,7,6,10,10,7,10,5,10,1,3,0,1,0,2,64,0,0,64,0,0,0,0,5,144,146,0,0,0,0,0,82,0,0,0,2,0,0,1,0
South Central,afvG6pq13B1,Wakiso District,Kira Division,Namugongo Fund For Special Children Clinic,IDI_Masaka Wakiso Region,,k2OhJe4N2et,afvG6pq13B1,Wakiso District,Kira Division,Namugongo Fund for Special Children Clinic,,,,Oct-Dec 2024,Site has outputs but not on DAPTS list,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,4,0,16,0,0,0,0,1,54,0,0,0,0,0,11,0,0,0,4,10,3,7,0,0
